"x" "y" "Q" "10x10" "20x20" "ha4plot" "Forest" "uneqID"
"1" 603283.9924 647282.7739 "1" "1" "A" "1" "A1" "1A1A1"
"2" 603285.90049 647272.957630001 "1" "1" "A" "1" "A1" "1A1A1"
"3" 603295.71676 647274.86572 "1" "1" "A" "1" "A1" "1A1A1"
"4" 603293.80867 647284.68199 "1" "1" "A" "1" "A1" "1A1A1"
"5" 603285.90049 647272.957630001 "2" "4" "A" "1" "A1" "4A1A1"
"6" 603295.71676 647274.86572 "2" "4" "A" "1" "A1" "4A1A1"
"7" 603297.62485 647265.04945 "2" "4" "A" "1" "A1" "4A1A1"
"8" 603287.80858 647263.14136 "2" "4" "A" "1" "A1" "4A1A1"
"9" 603293.80867 647284.68199 "3" "2" "A" "1" "A1" "2A1A1"
"10" 603295.71676 647274.86572 "3" "2" "A" "1" "A1" "2A1A1"
"11" 603305.53303 647276.77381 "3" "2" "A" "1" "A1" "2A1A1"
"12" 603303.62494 647286.59008 "3" "2" "A" "1" "A1" "2A1A1"
"13" 603295.71676 647274.86572 "4" "3" "A" "1" "A1" "3A1A1"
"14" 603305.53303 647276.77381 "4" "3" "A" "1" "A1" "3A1A1"
"15" 603307.44112 647266.95754 "4" "3" "A" "1" "A1" "3A1A1"
"16" 603297.62485 647265.04945 "4" "3" "A" "1" "A1" "3A1A1"
"17" 603287.80858 647263.14136 "1" "1" "J" "1" "A1" "1J1A1"
"18" 603289.71667 647253.32509 "1" "1" "J" "1" "A1" "1J1A1"
"19" 603299.53294 647255.23318 "1" "1" "J" "1" "A1" "1J1A1"
"20" 603297.62485 647265.04945 "1" "1" "J" "1" "A1" "1J1A1"
"21" 603291.62476 647243.50882 "2" "4" "J" "1" "A1" "4J1A1"
"22" 603301.44103 647245.41691 "2" "4" "J" "1" "A1" "4J1A1"
"23" 603299.53294 647255.23318 "2" "4" "J" "1" "A1" "4J1A1"
"24" 603289.71667 647253.32509 "2" "4" "J" "1" "A1" "4J1A1"
"25" 603297.62485 647265.04945 "3" "2" "J" "1" "A1" "2J1A1"
"26" 603299.53294 647255.23318 "3" "2" "J" "1" "A1" "2J1A1"
"27" 603309.34921 647257.14127 "3" "2" "J" "1" "A1" "2J1A1"
"28" 603307.44112 647266.95754 "3" "2" "J" "1" "A1" "2J1A1"
"29" 603301.44103 647245.41691 "4" "3" "J" "1" "A1" "3J1A1"
"30" 603311.2573 647247.325 "4" "3" "J" "1" "A1" "3J1A1"
"31" 603309.34921 647257.14127 "4" "3" "J" "1" "A1" "3J1A1"
"32" 603299.53294 647255.23318 "4" "3" "J" "1" "A1" "3J1A1"
"33" 603293.53285 647233.692549999 "1" "1" "K" "1" "A1" "1K1A1"
"34" 603303.34912 647235.60064 "1" "1" "K" "1" "A1" "1K1A1"
"35" 603301.44103 647245.41691 "1" "1" "K" "1" "A1" "1K1A1"
"36" 603291.62476 647243.50882 "1" "1" "K" "1" "A1" "1K1A1"
"37" 603295.44094 647223.87628 "2" "4" "K" "1" "A1" "4K1A1"
"38" 603293.53285 647233.692549999 "2" "4" "K" "1" "A1" "4K1A1"
"39" 603303.34912 647235.60064 "2" "4" "K" "1" "A1" "4K1A1"
"40" 603305.25721 647225.78437 "2" "4" "K" "1" "A1" "4K1A1"
"41" 603303.34912 647235.60064 "3" "2" "K" "1" "A1" "2K1A1"
"42" 603301.44103 647245.41691 "3" "2" "K" "1" "A1" "2K1A1"
"43" 603311.2573 647247.325 "3" "2" "K" "1" "A1" "2K1A1"
"44" 603313.16539 647237.50873 "3" "2" "K" "1" "A1" "2K1A1"
"45" 603305.25721 647225.78437 "4" "3" "K" "1" "A1" "3K1A1"
"46" 603315.07348 647227.69246 "4" "3" "K" "1" "A1" "3K1A1"
"47" 603313.16539 647237.50873 "4" "3" "K" "1" "A1" "3K1A1"
"48" 603303.34912 647235.60064 "4" "3" "K" "1" "A1" "3K1A1"
"49" 603297.34903 647214.060009999 "1" "1" "T" "1" "A1" "1T1A1"
"50" 603307.1653 647215.968099999 "1" "1" "T" "1" "A1" "1T1A1"
"51" 603305.25721 647225.78437 "1" "1" "T" "1" "A1" "1T1A1"
"52" 603295.44094 647223.87628 "1" "1" "T" "1" "A1" "1T1A1"
"53" 603299.25712 647204.243739999 "2" "4" "T" "1" "A1" "4T1A1"
"54" 603309.07339 647206.151829999 "2" "4" "T" "1" "A1" "4T1A1"
"55" 603307.1653 647215.968099999 "2" "4" "T" "1" "A1" "4T1A1"
"56" 603297.34903 647214.060009999 "2" "4" "T" "1" "A1" "4T1A1"
"57" 603307.1653 647215.968099999 "3" "2" "T" "1" "A1" "2T1A1"
"58" 603316.98157 647217.876189999 "3" "2" "T" "1" "A1" "2T1A1"
"59" 603315.07348 647227.69246 "3" "2" "T" "1" "A1" "2T1A1"
"60" 603305.25721 647225.78437 "3" "2" "T" "1" "A1" "2T1A1"
"61" 603309.07339 647206.151829999 "4" "3" "T" "1" "A1" "3T1A1"
"62" 603318.88966 647208.059919999 "4" "3" "T" "1" "A1" "3T1A1"
"63" 603316.98157 647217.876189999 "4" "3" "T" "1" "A1" "3T1A1"
"64" 603307.1653 647215.968099999 "4" "3" "T" "1" "A1" "3T1A1"
"65" 603299.25712 647204.243739999 "1" "1" "U" "1" "A1" "1U1A1"
"66" 603301.16521 647194.42747 "1" "1" "U" "1" "A1" "1U1A1"
"67" 603310.98148 647196.335559999 "1" "1" "U" "1" "A1" "1U1A1"
"68" 603309.07339 647206.151829999 "1" "1" "U" "1" "A1" "1U1A1"
"69" 603309.07339 647206.151829999 "2" "4" "U" "1" "A1" "4U1A1"
"70" 603310.98148 647196.335559999 "2" "4" "U" "1" "A1" "4U1A1"
"71" 603320.79775 647198.243649999 "2" "4" "U" "1" "A1" "4U1A1"
"72" 603318.88966 647208.059919999 "2" "4" "U" "1" "A1" "4U1A1"
"73" 603301.16521 647194.42747 "3" "2" "U" "1" "A1" "2U1A1"
"74" 603310.98148 647196.335559999 "3" "2" "U" "1" "A1" "2U1A1"
"75" 603312.88957 647186.519289999 "3" "2" "U" "1" "A1" "2U1A1"
"76" 603303.0733 647184.611199999 "3" "2" "U" "1" "A1" "2U1A1"
"77" 603310.98148 647196.335559999 "4" "3" "U" "1" "A1" "3U1A1"
"78" 603312.88957 647186.519289999 "4" "3" "U" "1" "A1" "3U1A1"
"79" 603322.70584 647188.427379999 "4" "3" "U" "1" "A1" "3U1A1"
"80" 603320.79775 647198.243649999 "4" "3" "U" "1" "A1" "3U1A1"
"81" 603305.53303 647276.77381 "1" "1" "B" "1" "A1" "1B1A1"
"82" 603315.3493 647278.681900001 "1" "1" "B" "1" "A1" "1B1A1"
"83" 603313.44121 647288.498170001 "1" "1" "B" "1" "A1" "1B1A1"
"84" 603303.62494 647286.59008 "1" "1" "B" "1" "A1" "1B1A1"
"85" 603307.44112 647266.95754 "2" "4" "B" "1" "A1" "4B1A1"
"86" 603305.53303 647276.77381 "2" "4" "B" "1" "A1" "4B1A1"
"87" 603315.3493 647278.681900001 "2" "4" "B" "1" "A1" "4B1A1"
"88" 603317.25739 647268.86563 "2" "4" "B" "1" "A1" "4B1A1"
"89" 603313.44121 647288.498170001 "3" "2" "B" "1" "A1" "2B1A1"
"90" 603315.3493 647278.681900001 "3" "2" "B" "1" "A1" "2B1A1"
"91" 603325.16557 647280.589990001 "3" "2" "B" "1" "A1" "2B1A1"
"92" 603323.25748 647290.40626 "3" "2" "B" "1" "A1" "2B1A1"
"93" 603317.25739 647268.86563 "4" "3" "B" "1" "A1" "3B1A1"
