tree	sp	type	Y	X	X50N	Y50N	X50Nc	Y50Nc	elev	side	fullname	mlim	dden	fsen	habit	DBH	FL2010	FL2014	FL2015	dead	mort
12KAcos1	Acos	Emergent	5.854233333	117.9476167	604904.4387	647179.7358	604600.3997	647119.0508	33	A1	Anisoptera_costata	50	0.55	NA	dry	75	0	0	0	0	0
12KAcos2	Acos	Emergent	5.854133333	117.94775	604919.2154	647168.705	604615.1764	647108.02	36.01595	A1	Anisoptera_costata	50	0.55	NA	dry	63	0	0	0	0	0
10KDacc1	Dacu	Subcanopy	5.8566	117.9466167	604793.2842	647441.1995	604489.2452	647380.5145	25	A1	Dipterocarpus_acutangulus	40	0.64	NA	dry	56	0	0	0	0	0
11KDACU1	Dacu	Subcanopy	5.855033333	117.94685	604819.4056	647268.0378	604515.3666	647207.3528	30	A1	Dipterocarpus_acutangulus	40	0.64	NA	dry	80	1	0	0	0	0
11KDACU10	Dacu	Subcanopy	5.855916667	117.9466167	604793.4116	647365.6526	604489.3726	647304.9676	22	A1	Dipterocarpus_acutangulus	40	0.64	NA	dry	61.5	1	0	1	0	0
11KDACU11	Dacu	Subcanopy	5.856	117.94795	604941.0098	647375.1146	604636.9708	647314.4296	24	A1	Dipterocarpus_acutangulus	40	0.64	NA	dry	80	0	0	0	0	0
11KDACU12	Dacu	Subcanopy	5.855733333	117.9480333	604950.2819	647345.6484	604646.2429	647284.9634	27	A1	Dipterocarpus_acutangulus	40	0.64	NA	dry	125	0	0	1	0	0
11KDACU13	Dacu	Subcanopy	5.855583333	117.94775	604918.9449	647329.012	604614.9059	647268.327	28.13167	A1	Dipterocarpus_acutangulus	40	0.64	NA	dry	101.5	1	1	0	0	0
11KDACU14	Dacu	Subcanopy	5.855333333	117.9477167	604915.3048	647301.3666	604611.2658	647240.6816	35	A1	Dipterocarpus_acutangulus	40	0.64	NA	dry	115.5	0	0	0	0	0
11KDACU15	Dacu	Subcanopy	5.855283333	117.9477	604913.4652	647295.8357	604609.4262	647235.1507	35.54333	A1	Dipterocarpus_acutangulus	40	0.64	NA	dry	60.3	0	0	0	0	0
