"index" "site" "blockN" "blockL" "plot" "sp" "sdlrep" "wl" "origin" "mother" "name" "poss" "x" "y" "ztopo" "per.water.feb" "per.water.mar" "per.water.may" "light" "sand" "time" "mortality" "f.time" "height" "dia" "Tbio" "cdia" "rgr" "flood" "wden"
"1" 1297 "A1" 1 "a" 2 "Sfal" 3 "H" "Mud" "Sfal1" "Sfal3" 1 0 0 171.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 8.04247719318987 1.6 NA NA "Sfal"
"2" 625 "A1" 1 "a" 2 "Ssmi" 2 "H" "Mud" "90Ssmi10m" "bSsmi2" 2 0 40 172.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 52.2962079487171 4.08 NA NA "Ssmi"
"3" 433 "A1" 1 "a" 2 "Sgib" 1 "H" "Mud" "Sgib1" "Sgib1" 3 0 80 172.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 9.62112750161874 1.75 NA NA "Sgib"
"4" 721 "A1" 1 "a" 2 "Sacu" 2 "H" "Mud" "8MSacu2" "aSacu2" 4 0 120 175.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 4.44880935674851 1.19 NA NA "Sacu"
"5" 1009 "A1" 1 "a" 2 "Smac" 2 "H" "Mud" "Smac1" "Smac2" 5 0 160 177.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 17.4974144434337 2.36 NA NA "Smac"
"6" 1873 "A1" 1 "a" 2 "Ssem" 4 "H" "All" "Ssem1" "Ssem4" 6 0 200 176.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 21.7300822256152 2.63 NA NA "Ssem"
"7" 1777 "A1" 1 "a" 2 "Smec" 4 "H" "All" "Smec1" "Smec4" 7 0 240 177.953333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 70.584047103794 4.74 NA NA "Smec"
"8" 1617 "A1" 1 "a" 2 "Ptom" 4 "H" "All" "8LPtom6a" "gPtom4" 8 0 280 177.953333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 29.0333426674154 3.04 NA NA "Ptom"
"9" 529 "A1" 1 "a" 2 "Sxan" 2 "H" "Mud" "Sxan1RDCm" "aSxan2" 9 40 0 170.953333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 54.1060794764502 4.15 NA NA "Sxan"
"10" 1809 "A1" 1 "a" 2 "Sfal" 4 "H" "Mud" "Sfal1" "Sfal4" 10 40 40 170.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 9.51148591800846 1.74 NA NA "Sfal"
"11" 81 "A1" 1 "a" 2 "Ptom" 1 "H" "Mud" "Ptom3RCDm" "cPtom1" 11 40 80 173.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 18.0955736846772 2.4 NA NA "Ptom"
"12" 49 "A1" 1 "a" 2 "Pmal" 1 "H" "Mud" "8MPmal8m" "dPmal1" 12 40 120 173.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 12.8189546637078 2.02 NA NA "Pmal"
"13" 913 "A1" 1 "a" 2 "Dry" 2 "H" NA "Dry1" "Dry2" 13 40 160 175.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 12.0687423380305 1.96 NA NA "Dry"
"14" 1169 "A1" 1 "a" 2 "Slep" 3 "H" "All" "8PSlep2a" "eSlep3" 14 40 200 174.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 33.3875900852909 3.26 NA NA "Slep"
"15" 465 "A1" 1 "a" 2 "Sbec" 1 "H" "Mud" "Sbec1" "Sbec1" 15 40 240 174.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 9.29408770638004 1.72 NA NA "Sbec"
"16" 1937 "A1" 1 "a" 2 "Dry" 4 "H" NA "Dry1" "Dry4" 16 40 280 176.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 9.84229562443146 1.77 NA NA "Dry"
"17" 1745 "A1" 1 "a" 2 "Sacu" 4 "H" "Mud" "9OSacu3" "bSacu4" 17 80 0 165.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 6.60519855417254 1.45 NA NA "Sacu"
"18" 1457 "A1" 1 "a" 2 "Sgib" 3 "H" "Mud" "Sgib1" "Sgib3" 18 80 40 166.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 8.44962760109511 1.64 NA NA "Sgib"
"19" 241 "A1" 1 "a" 2 "Smec" 1 "H" "All" "Smec1" "Smec1" 19 80 80 168.953333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 101.712517911888 5.69 NA NA "Smec"
"20" 1201 "A1" 1 "a" 2 "Spar" 3 "H" "Mud" "9PSpar2" "cSpar3" 20 80 120 171.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 17.9450913965703 2.39 NA NA "Spar"
"21" 1137 "A1" 1 "a" 2 "Ssmi" 3 "H" "All" "Ssmi4a" "fSsmi3" 21 80 160 170.953333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 21.5651486113018 2.62 NA NA "Ssmi"
"22" 337 "A1" 1 "a" 2 "Ssem" 1 "H" "All" "Ssem1" "Ssem1" 22 80 200 173.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 43.0084034276443 3.7 NA NA "Ssem"
"23" 1041 "A1" 1 "a" 2 "Sxan" 3 "H" "All" "11HSxan1a" "iSxan3" 23 80 240 175.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 27.3397100678652 2.95 NA NA "Sxan"
"24" 17 "A1" 1 "a" 2 "Sxan" 1 "H" "Mud" "8MSxan9m" "bSxan1" 24 80 280 176.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 42.5447043519744 3.68 NA NA "Sxan"
"25" 401 "A1" 1 "a" 2 "Dry" 1 "H" NA "Dry1" "Dry1" 25 120 0 157.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 29.8024045490142 3.08 NA NA "Dry"
"26" 1425 "A1" 1 "a" 2 "Dry" 3 "H" NA "Dry1" "Dry3" 26 120 40 161.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 20.5887416145661 2.56 NA NA "Dry"
"27" 1521 "A1" 1 "a" 2 "Smac" 3 "H" "Mud" "Smac1" "Smac3" 27 120 80 163.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 33.3875900852909 3.26 NA NA "Smac"
"28" 145 "A1" 1 "a" 2 "Slep" 1 "H" "Mud" "9PSlep2m" "aSlep1" 28 120 120 168.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 89.9202357273738 5.35 NA NA "Slep"
"29" 1553 "A1" 1 "a" 2 "Sxan" 4 "H" "All" "9KSxan29a" "fSxan4" 29 120 160 169.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 10.9858353503381 1.87 NA NA "Sxan"
"30" 1265 "A1" 1 "a" 2 "Smec" 3 "H" "All" "Smec1" "Smec3" 30 120 200 170.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 21.8956441584594 2.64 NA NA "Smec"
"31" 1905 "A1" 1 "a" 2 "Spau" 4 "H" NA "Spau1" "Spau4" 31 120 240 171.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 17.795237426994 2.38 NA NA "Spau"
"32" 1233 "A1" 1 "a" 2 "Sacu" 3 "H" "Mud" "9OSacu3" "bSacu3" 32 120 280 173.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 4.5238934211693 1.2 NA NA "Sacu"
"33" 1713 "A1" 1 "a" 2 "Spar" 4 "H" "Mud" "Spar1RDC" "bSpar4" 33 160 0 160.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 4.1547562843725 1.15 NA NA "Spar"
