"sap_dden" "adult_dden" "rr" "elev" "sp"
"dry" 0.536437458771429 0.62 0.0763676621150117 73.8161595361388 "Dry"
"pmal" 0.52133471175 0.42 0.288857247550026 69.6230059776376 "Pmal"
"ptom" 0.522369924666667 0.51 0.214169685783154 65.2393351200393 "Ptom"
"sacu" 0.568328038316667 0.425 0.355602115895994 80.5181009304963 "Sacu"
"sbec" 0.425663077628571 0.47 0.382264135372041 114.562947521713 "Sbec"
"sfal" 0.598351255466667 0.72 0.0682327811637041 94.3132528791466 "Sfal"
"sgib" 0.585578636085714 0.455 0.340859294712458 95.1074346613754 "Sgib"
"slep" 0.369031736 0.44 0.11462814015127 56.7483387964928 "Slep"
"smac" 0.411879089166667 0.43 0.237910893411105 79.6421137874794 "Smac"
"smec" 0.509972157016667 0.4266667 0.122628779864601 58.8173061266871 "Smec"
"spar" 0.375092136233333 0.41 0.237920187942444 61.9553735152414 "Spar"
"spau" 0.398076699066667 0.63 0.09776694079336 92.7905218813301 "Spau"
"ssem" 0.584252697028571 0.72 0.072961945056976 48.5114243737959 "Ssem"
"ssmi" 0.38433416825 0.355 0.350371676820994 82.4284894825631 "Ssmi"
"swal" 0.45659922315 0.5099537 0.166717489632128 61.4578782655319 "Swal"
"sxan" 0.492551476666667 0.52 0.0814850571500641 65.9529665893977 "Sxan"
