"sp" "mother" "block" "treat" "mort" "diameter" "height" "leaves" "lBio" "wBio" "dden" "den" "si" "slm" "rgr" "leafArea" "A" "carbon.per.sec" "woody.carbon" "carbon.fraction" "Dden" "leafTwood" "carbon.per.sec2" "carbon.fraction2" "leafTtotal" "rootTstem" "CF" "Dcf"
"3" "pmal" "Pm_m_3" "A" 0 0 3.13 305 5 797.666991046015 757.804335562629 0.39 0.49 0.0313 4.96 0.148597802092587 160.81995787218 1.73057297326889 27.8310672655836 378.902167781315 0.0178923692063569 0.000407674000000025 1.05260283375627 27.8310672655837 0.0120058485161704 0.344099957413081 1.00640025845469 0.00610245022553465 0.00590339829063575
"4" "dry" "DL_m_1" "A" 12 0 4.8 505 12 2724.86522779998 2422.54239117942 0.59 0.42 0.0372 5.43 0.162227387593744 501.816800699813 0.398583213420191 20.0015752971171 1211.27119558971 0.00388575702133396 0.248653523 1.12479568478196 20.0015752971171 0.00305884399099922 0.416714058994145 0.574406947106594 0.00485143318773572 -0.0017925891967365
"6" "slep" "8Pslep_2" "A" 6 0 5.2 454 13 5770.05481109926 1902.39284439608 0.42 0.4 0.055 4.44 0.163860537163344 1299.56189439172 1.51751731794832 197.210768048517 951.19642219804 0.0257037619418969 0.05460932 3.03305115349663 197.210768048517 0.0218075262529344 0.638051476697059 0.720563976739475 0.0138467526479274 0.007960773605007
"7" "ptom" "Ptom_3" "A" 6 0 4.24 160 4 724.623832023626 543.749066312079 0.31 0.52 0.0262 4.92 -0.00486637572651073 147.281266671469 0.601070062559201 8.8526360172018 271.87453315604 0.00697952158140385 0.24160568 1.33264381847736 8.85263601720181 0.0045102614577188 0.369183024645998 1.27706662190706 0.0062039963071807 -0.0016937348494619
"8" "slep" "12I_Slep_3" "A" 18 0 5.97 562 13 4995.49893482946 2682.88266783324 0.42 0.4 0.055 4.44 0.136925920662237 1125.11237270934 0.85572045929729 96.2781676335898 1341.44133391662 0.0125388620435591 0.01455905 1.86198934255442 96.2781676335898 0.0100357750168982 0.520717257498078 0.713827121645045 0.0138467526479274 -0.0038109776310292
"9" "slep" "12H_Slep_8" "A" 0 0 4.6 514 9 2513.8295552908 1657.27344920652 0.42 0.4 0.055 4.44 0.155276455779888 566.177827768199 2.40416379569559 136.118423544588 828.636724603258 0.0326336758880861 -0.060701672 1.51684657501416 136.118423544588 0.025835931850183 0.47713694724208 0.662212568868422 0.0138467526479274 0.0119891792022556
"10" "ssem" "SS" "A" 3 0 4.19 335 10 2957.99422733464 1257.24466880482 0.72 0.5 0.014 5.16 0.199069903068153 573.254695219892 0.957328788260059 54.8793222739249 628.622334402412 0.0130192673834421 0.167520174 2.35275941169558 54.8793222739248 0.0102530678518479 0.552640124942771 0.904548926057176 0.0056898425264925 0.0045632253253554
"11" "slep" "SL_maliau" "A" 9 0 4.38 350 14 9191.12205688985 1251.92651110949 0.42 0.4 0.055 4.44 0.0555019407324762 2070.07253533555 1.13595093128835 235.150082434886 625.963255554747 0.0225173789917493 0.094749547 7.34158273295484 235.150082434886 0.0205284306427883 0.802378250182036 0.808195107221226 0.0138467526479274 0.0066816779948609
"12" "spar" "SP_m_7" "A" 0 0 3.06 302 6 2305.25364978332 1422.77014642772 0.36 0.39 0.0423 4.81 0.141043920137241 479.262713052666 1.63027130750555 78.1328249847024 711.385073213861 0.0209582420219829 0.020627178 1.6202572534793 78.1328249847026 0.0137064175151597 0.404398138790734 1.38633204073538 0.00640743154576376 0.00729898596939594
"13" "dry" "DL_m_1" "A" 15 0 6.7 561 10 3183.82600756433 3568.98195046282 0.59 0.42 0.0372 5.43 0.0807301088284086 586.33996456065 0.288485600512078 16.9150636780509 1784.49097523141 0.00250489333965788 0.185236957 0.892082406623393 16.915063678051 0.00189553437571958 0.356785629573439 0.608249256649981 0.00485143318773572 -0.00295589881201614
"14" "ssem" "SS" "A" 6 0 2.56 185 10 2328.96581683705 406.036483618734 0.72 0.5 0.014 5.16 0.125961411965783 451.349964503303 0.660601034044551 29.8162253266853 203.018241809367 0.0109017185549411 NA 5.73585357670452 29.8162253266854 0.00880542832680521 0.687798047909969 1.60359081999626 0.0056898425264925 0.00311558580031271
"15" "ssem" "SS" "A" 0 0 4.43 122 4 517.276320651077 549.280836358644 0.72 0.5 0.014 5.16 0.155879073413693 100.247348963387 1.69239027388097 16.9657638367988 274.640418179322 0.0159070366977474 0.022239729 0.94173378427011 16.9657638367988 0.00948891882220839 0.289311643290849 1.31335050324117 0.0056898425264925 0.00379907629571589
