"sp" "mother" "block" "treat" "mort" "diameter" "height" "leaves" "lBio" "sBio" "rBio" "rootTstem" "dden" "si" "raden" "slm" "p50" "fden" "Dden" "wet" "fleaf" "rgr" "leafTwood" "local" "surv" "name" "A" "Adate" "E" "rTs" "lTb"
"1" "sjoh" "8K_SJoh_8" "A" 18 1 3.75 355 5 955.717607956862 915.318757557649 826.231889621129 0.902671209126937 0.4 0.0449 0.19 4.73 -1.52793042721657 NA NA "wet" "high" NA 0.354327978367432 "sfr" 0 "A1" -0.4 "07.08.2015" 0.36 1.44202945767578 0.242364619261867
"2" "ssmi" "Ssmi_m_2" "A" 15 1 3.98 280 5 2765.74920034482 1378.81351401482 1661.00956715229 1.20466585964608 0.31 0.0293 0.13 4.63 -1.11733744698828 NA NA "wet" "high" NA 0.476395618938801 "sfr" 0 "A2" -1.34 "07.08.2015" 0.18 0.881318758953821 0.249740528331436
"3" "pmal" "Pm_m_3" "A" 0 0 3.13 305 5 797.666991046015 757.804335562629 762.654479168315 1.00640025845469 0.39 0.0313 0.15 4.96 -1.47571143778228 0.490407674 0.100407674 "dry" "high" 0.148597802092587 0.344099957413081 "mal" 1 "A3" 7.71 "12.08.2015" 1.76 1.10821933463314 0.307792273027868
"4" "dry" "DL_m_1" "A" 12 0 4.8 505 12 2724.86522779998 2422.54239117942 1391.52517915368 0.574406947106594 0.59 0.0372 0.12 5.43 -2.95831330249817 0.668653523 0.0786535230000001 "wet" "high" 0.162227387593744 0.416714058994145 "mal" 1 "A4" -0.56 "07.08.2015" 0.2 0.736364768672071 0.361645549985552
"5" "sxan" "Sxan_1" "A" 18 1 4.04 230 4 936.609684442484 850.29768670034 812.527805439037 0.955580402190823 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.360312768281486 "sfr" 0 "A5" NA NA NA 1.13561314857521 0.36920464173473
"6" "slep" "8Pslep_2" "A" 6 0 5.2 454 13 5770.05481109926 1902.39284439608 1370.79575327876 0.720563976739475 0.42 0.055 0.25 4.44 -1.63797719837667 0.45460932 0.03460932 "wet" "high" 0.163860537163344 0.638051476697059 "sfr" 1 "A6" 0.46 "29.07.2015" 0.98 1.03017923451197 0.246401415393927
"7" "ptom" "Ptom_3" "A" 6 0 4.24 160 4 724.623832023626 543.749066312079 694.403783280285 1.27706662190706 0.31 0.0262 0.13 4.92 -1.11733744698828 0.76160568 0.45160568 "wet" "high" -0.00486637572651073 0.369183024645998 "sfr" 1 "A7" 2.05 "30.07.2015" 1.18 1.25739196337714 0.290252763040932
"8" "slep" "12I_Slep_3" "A" 18 0 5.97 562 13 4995.49893482946 2682.88266783324 1915.11441249078 0.713827121645045 0.42 0.055 0.25 4.44 -1.63797719837667 0.41455905 -0.00544095 "wet" "high" 0.136925920662237 0.520717257498078 "sfr" 1 "A8" NA NA NA 1.03017923451197 0.246401415393927
"9" "slep" "12H_Slep_8" "A" 0 0 4.6 514 9 2513.8295552908 1657.27344920652 1097.46730811648 0.662212568868422 0.42 0.055 0.25 4.44 -1.63797719837667 0.339298328 -0.080701672 "dry" "high" 0.155276455779888 0.47713694724208 "sfr" 1 "A9" NA NA NA 1.03017923451197 0.246401415393927
"10" "ssem" "SS" "A" 3 0 4.19 335 10 2957.99422733464 1257.24466880482 1137.23931495851 0.904548926057176 0.72 0.014 0.12 5.16 -4.64913263523571 0.667520174 -0.052479826 "wet" "high" 0.199069903068153 0.552640124942771 "sfr" 1 "A10" 5.14 "12.08.2015" 1.72 1.02239348582335 0.257097042694379
"11" "slep" "SL_maliau" "A" 9 0 4.38 350 14 9191.12205688985 1251.92651110949 1011.80088087923 0.808195107221226 0.42 0.055 0.25 4.44 -1.63797719837667 0.494749547 0.074749547 "wet" "high" 0.0555019407324762 0.802378250182036 "mal" 1 "A11" NA NA NA 1.03017923451197 0.246401415393927
"12" "spar" "SP_m_7" "A" 0 0 3.06 302 6 2305.25364978332 1422.77014642772 1972.43184059452 1.38633204073538 0.36 0.0423 0.2 4.81 -1.32952049012629 0.410627178 0.050627178 "dry" "high" 0.141043920137241 0.404398138790734 "mal" 1 "A12" NA NA NA 1.18152048315931 0.298487653517437
"13" "dry" "DL_m_1" "A" 15 0 6.7 561 10 3183.82600756433 3568.98195046282 2170.83061836621 0.608249256649981 0.59 0.0372 0.12 5.43 -2.95831330249817 0.605236957 0.0152369570000001 "wet" "high" 0.0807301088284086 0.356785629573439 "mal" 1 "A13" 0.27 "12.08.2015" 0.87 0.736364768672071 0.361645549985552
"14" "ssem" "SS" "A" 6 0 2.56 185 10 2328.96581683705 406.036483618734 651.116377714565 1.60359081999626 0.72 0.014 0.12 5.16 -4.64913263523571 NA NA "wet" "high" 0.125961411965783 0.687798047909969 "sfr" 1 "A14" NA NA NA 1.02239348582335 0.257097042694379
"15" "ssem" "SS" "A" 0 0 4.43 122 4 517.276320651077 549.280836358644 721.398262852356 1.31335050324117 0.72 0.014 0.12 5.16 -4.64913263523571 0.522239729 -0.197760271 "dry" "high" 0.155879073413693 0.289311643290849 "sfr" 1 "A15" 1.72 "12.08.2015" 0.73 1.02239348582335 0.257097042694379
"16" "spar" "Sp_m_3" "A" 15 1 4.21 410 7 1619.24601861192 1544.23298930559 1357.91173914685 0.87934382217639 0.36 0.0423 0.2 4.81 -1.32952049012629 0.633892767 0.273892767 "wet" "high" 0.160201029800646 0.358130077490706 "mal" 0 "A16" -0.34 "30.07.2015" 0.92 1.18152048315931 0.298487653517437
"17" "ssem" "SS" "A" 18 1 3.29 242 6 737.881823902546 561.290223745081 708.61145747058 1.26246891090055 0.72 0.014 0.12 5.16 -4.64913263523571 NA NA "wet" "high" NA 0.367510651433061 "sfr" 0 "A17" NA NA NA 1.02239348582335 0.257097042694379
"18" "sxan" "8m_Sxan_3" "A" 18 1 4.63 265 7 2117.33231356525 1519.24187886748 1178.99055018267 0.776038737861511 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.439685151531219 "sfr" 0 "A18" NA NA NA 1.13561314857521 0.36920464173473
