name	sp	mother	block	poss	xcoord	ycoord	treat	mort	Sday	surv	date_dead	date_ab	wden	dden	sla	dia	Lday	Labs
A1	sjoh	8K_SJoh_8	A	1	0	0	18	1	41	0	28.08.2015	09.08.2015	NA	NA	NA	3.75	22	1
A2	ssmi	Ssmi_m_2	A	2	0.5	0	15	1	30	0	17.08.2015	27.07.2015	NA	NA	NA	3.98	9	1
A3	pmal	Pm_m_3	A	3	1	0	0	0	84	1	NA	NA	1.064919493	0.490407674	0.196104246	3.13	84	0
A4	dry	DL_m_1	A	4	1.5	0	12	0	84	1	NA	NA	1.10087116	0.668653523	0.171280924	4.8	84	0
A5	sxan	Sxan_1	A	5	2	0	18	1	33	0	20.08.2015	11.08.2015	NA	NA	NA	4.04	24	1
A6	slep	8Pslep_2	A	6	2.5	0	6	0	84	1	NA	22.09.2015	0.910311451	0.45460932	NA	5.2	66	1
A7	ptom	Ptom_3	A	7	3	0	6	0	84	1	NA	23.07.2015	0.920808301	0.76160568	0.159190506	4.24	5	1
A8	slep	12I_Slep_3	A	8	3.5	0	18	0	84	1	NA	28.08.2015	0.87933436	0.41455905	0.205018076	5.97	41	1
A9	slep	12H_Slep_8	A	9	0	0.5	0	0	84	1	NA	08.10.2015	0.899536928	0.339298328	0.225519883	4.6	82	1
A10	ssem	SS	A	10	0.5	0.5	3	0	84	1	NA	NA	1.024518932	0.667520174	0.190580183	4.19	84	0
A11	slep	SL_maliau	A	11	1	0.5	9	0	84	1	NA	02.09.2015	0.977670489	0.494749547	NA	4.38	46	1
A12	spar	SP_m_7	A	12	1.5	0.5	0	0	84	1	NA	05.09.2015	0.973867596	0.410627178	0.178042013	3.06	49	1
A13	dry	DL_m_1	A	13	2	0.5	15	0	84	1	NA	NA	1.089307049	0.605236957	NA	6.7	84	0
A14	ssem	SS	A	14	2.5	0.5	6	0	84	1	NA	10.08.2015	NA	NA	NA	2.56	23	1
A15	ssem	SS	A	15	3	0.5	0	0	84	1	NA	NA	1.09150406	0.522239729	0.163026422	4.43	84	0
A16	spar	Sp_m_3	A	16	3.5	0.5	15	1	66	0	22.09.2015	17.08.2015	0.692261993	0.633892767	NA	4.21	30	1
A17	ssem	SS	A	17	0	1	18	1	55	0	11.09.2015	14.09.2015	NA	NA	NA	3.29	58	1
A18	sxan	8m_Sxan_3	A	18	0.5	1	18	1	26	0	13.08.2015	18.08.2015	NA	NA	NA	4.63	31	1
A19	sbec	Sbec_Sfr	A	19	1	1	21	1	26	0	13.08.2015	29.07.2015	NA	NA	NA	5.01	11	1
A20	slep	9P_Slep_2	A	20	1.5	1	3	0	84	1	NA	17.09.2015	0.902870358	0.418854578	NA	4.11	61	1
A21	ssem	SS	A	21	2	1	15	1	67	0	23.09.2015	11.08.2015	1.110572873	0.651642797	NA	3.82	24	1
A22	dry	DL_m_2	A	22	2.5	1	3	0	84	1	NA	NA	1.07623467	0.619600044	0.139496835	5.65	84	0
A23	sxan	8m_Sxan_3	A	23	3	1	3	1	77	0	03.10.2015	16.08.2015	0.606070496	0.554177546	NA	2.56	29	1
A24	sbec	SHOREABECCARINA_Sbec	A	24	3.5	1	0	0	84	1	NA	NA	0.970878914	0.375330064	0.14243361	5.14	84	0
A25	slep	8P_Slep_4	A	25	0	1.5	18	0	84	1	NA	NA	0.936872989	0.528866175	0.250577648	3.31	84	0
A26	slep	SL_m_1	A	26	0.5	1.5	9	0	84	1	NA	NA	0.969265259	0.492985247	0.196104246	3.27	84	0
A27	sjoh	8K_SJoh_8	A	27	1	1.5	3	0	84	1	NA	04.08.2015	0.869474313	0.627837515	0.177458269	2.79	17	1
A28	spar	Spar_1	A	28	1.5	1.5	9	0	84	1	NA	23.09.2015	0.996605431	0.48422524	0.191028607	4.95	67	1
A29	spar	Spar_1	A	29	2	1.5	12	0	84	1	NA	11.08.2015	NA	NA	NA	4.49	24	1
A30	sjoh	SJ_m_5	A	30	2.5	1.5	6	0	84	1	NA	18.09.2015	0.969786293	0.687730287	NA	4.01	62	1
A31	ptom	All_Ptom_4	A	31	3	1.5	15	1	37	0	24.08.2015	09.08.2015	NA	NA	NA	3.67	22	1
A32	sbec	Sbec_Sfr	A	32	3.5	1.5	18	0	84	1	NA	NA	0.957137579	0.521862298	0.175729779	5.65	84	0
A33	sbec	Sbec_Sfr	A	33	0	2	12	1	33	0	20.08.2015	22.08.2015	NA	NA	NA	4.72	35	1
A34	dry	DL_m_3	A	34	0.5	2	21	0	84	1	NA	NA	1.079621509	0.62127856	NA	4.33	84	0
A35	sjoh	SJ_m_1	A	35	1	2	9	0	84	1	NA	24.07.2015	0.934758364	0.6366171	NA	3.81	6	1
A36	ssmi	Ssmi_5	A	36	1.5	2	12	1	56	0	12.09.2015	25.07.2015	NA	NA	NA	6.29	7	1
A37	sbec	SHOREABECCARINA_Sbec	A	37	2	2	9	0	84	1	NA	06.10.2015	0.940709272	0.433136313	NA	6.1	80	1
A38	pmal	Pm_m_4	A	38	2.5	2	15	1	42	0	29.08.2015	07.08.2015	NA	NA	NA	3.8	20	1
A39	slep	Slep_1	A	39	3	2	21	0	84	1	NA	31.07.2015	0.948690942	0.474721637	0.24827877	4.87	13	1
A40	spar	SP_m_5	A	40	3.5	2	15	1	46	0	02.09.2015	25.08.2015	NA	NA	NA	4.12	38	1
A41	pmal	12H_Pmal_1	A	41	0	2.5	6	0	84	1	NA	23.07.2015	0.840144665	0.757323689	NA	2.65	5	1
A42	pmal	9L_Pmal_7	A	42	0.5	2.5	21	1	66	0	22.09.2015	31.07.2015	0.749118388	0.687405542	NA	3.28	13	1
A43	sjoh	ou_SJoh	A	43	1	2.5	0	0	84	1	NA	11.08.2015	0.938050499	0.397827363	NA	2.65	24	1
A44	spar	Sp_m_4	A	44	1.5	2.5	0	0	84	1	NA	25.08.2015	0.99170745	0.387030995	0.204244422	3.91	38	1
A45	dry	DL_Tawau	A	45	2	2.5	6	0	84	1	NA	NA	1.085891601	0.558047166	0.153763557	5.54	84	0
A46	sbec	SHOREABECCARINA_Sbec	A	46	2.5	2.5	12	0	84	1	NA	NA	1.033394962	0.515021955	NA	5.87	84	0
A47	dry	DL_m_6	A	47	3	2.5	18	0	84	1	NA	03.09.2015	1.054097569	0.541941716	0.169139912	2.59	47	1
A48	ptom	Pt_m_4	A	48	3.5	2.5	6	0	84	1	NA	26.07.2015	0.744533528	0.616982507	0.186637145	3.33	8	1
A49	slep	SL_m_72	A	49	0	3	6	0	84	1	NA	24.07.2015	0.966972477	0.54757536	NA	3.41	6	1
A50	pmal	Pmal_1_RDC	A	50	0.5	3	18	1	31	0	18.08.2015	30.07.2015	NA	NA	NA	4.45	12	1
