"sp" "rr"
"Dry" "Dry" 0.0866908281202989
"Pmal" "Pmal" 0.278063064462232
"Ptom" "Ptom" 0.198872992296259
"Sacu" "Sacu" 0.374309025768118
"Sbec" "Sbec" 0.348452645004759
"Sfal" "Sfal" 0.0893409739364674
"Sgib" "Sgib" 0.348473179618134
"Slep" "Slep" 0.150099204820522
"Smac" "Smac" 0.249730122668447
"Smec" "Smec" 0.132018933072935
"Spar" "Spar" 0.261504663528866
"Spau" "Spau" 0.10786112918428
"Ssem" "Ssem" 0.111774811400263
"Ssmi" "Ssmi" 0.387030451939026
"Swal" "Swal" 0.182007683174855
"Sxan" "Sxan" 0.107420014397023
