"e" "d" "n"
"1" 75.27112625 0.496128472222222 8
"2" 70.5757525 0.485267857142857 8
"3" 69.4090016666667 0.416388888888889 6
"4" 69.356804 0.421333333333333 5
"5" 72.3529127272727 0.512727272727273 11
"6" 79.51967 0.4675 6
"7" 83.3677822222222 0.510555555555556 9
"8" 85.0304466666667 0.557777777777778 9
"9" 78.7021442857143 0.552142857142857 7
"10" 74.68225 0.555 4
"11" 86.36588125 0.551041666666667 8
"12" 87.867755 0.555752314814815 12
"13" 100.0726852 0.5426 25
"14" 98.1378383333333 0.530416666666667 12
"15" 67.0895866666667 0.590970568783069 12
"16" 64.8888209090909 0.580171356421356 11
"17" 71.52267 0.5375 6
"18" 62.5325577777778 0.472777777777778 9
"19" 63.035202 0.569 5
"20" 64.931202 0.564 5
"21" 68.7094590909091 0.591363636363636 11
"22" 58.8776666666667 0.58 6
"23" 57.4675714285714 0.48952380952381 7
"25" 58.138375 0.478333333333333 8
"26" 63.7239246153846 0.470512820512821 13
"27" 73.41950375 0.491666666666667 8
"28" 85.831152 0.543666666666667 20
"29" 69.614202 0.469 5
"30" 90.121738 0.513935185185185 15
"31" 100.916952631579 0.546491228070175 19
"32" 92.9179505555555 0.530964506172839 18
"33" 93.9401881818182 0.548939393939394 11
"34" 106.661009285714 0.496071428571429 14
"35" 124.234774230769 0.515 26
"36" 126.265451111111 0.543333333333333 18
"37" 73.3732857142857 0.443333333333333 7
"38" 77.268802 0.474 5
"39" 71.1907715384615 0.466720085470085 13
"40" 69.9940042857143 0.495714285714286 7
"41" 72.1764630769231 0.510309829059829 13
"42" 77.031835 0.516666666666667 6
"43" 76.086 0.437 5
"44" 84.13900375 0.536128472222222 8
"45" 75.7362525 0.51625 4
"46" 76.7267185714286 0.493333333333333 7
"47" 89.3564590909091 0.526666666666667 11
"48" 92.3341725 0.550972222222222 24
"49" 92.8581084210526 0.54780701754386 19
"50" 93.3040954545454 0.522121212121212 11
"51" 83.5835423076923 0.550897435897436 13
"52" 71.7764 0.524 5
"53" 90.7476409090909 0.561515151515151 11
"54" 80.9791584615385 0.532435897435897 13
"55" 77.3315025 0.505625 4
"56" 58.064 0.420833333333334 2
"57" 68.2770945454545 0.561729797979798 11
"58" 67.0153353333333 0.530444444444444 15
"59" 59.0463333333333 0.453333333333333 3
"60" 58.300875 0.417916666666667 8
"61" 57.82 0.441342592592593 3
"62" 64.608 0.56125 4
"63" 61.21925 0.45125 4
"64" 73.580004 0.474472222222222 5
"65" 60.926601 0.5145 10
"66" 75.7606464285714 0.51671626984127 14
"67" 84.74355 0.541666666666667 11
"68" 82.8657185714286 0.526289682539683 7
"69" 90.8427533333333 0.514375 12
"70" 107.790324090909 0.503939393939394 22
"71" 120.184301851852 0.510925925925926 27
"72" 117.283375555556 0.519358974358974 27
"73" 86.813905 0.504833333333333 10
"74" 74.09286 0.493571428571429 7
"75" 70.6368 0.428 5
"76" 69.867505 0.576071428571429 2
"77" 73.9670030769231 0.509487179487179 13
"78" 75.1560025 0.49375 4
"79" 74.326802 0.457666666666667 5
"80" 83.4098628571429 0.552430555555556 14
"81" 80.2941177777778 0.528225308641975 9
"82" 81.309802 0.478333333333333 5
"83" 81.9496691666667 0.591666666666667 12
"84" 86.0131155555556 0.512407407407407 9
"85" 95.7482935714286 0.534285714285714 14
"86" 100.649168333333 0.496296296296296 18
"87" 89.38986 0.547261904761905 14
"88" 96.0608209090909 0.536818181818182 11
"89" 100.48313 0.530625 8
"90" 95.5512376923077 0.526794871794872 13
"91" 60.971 0.45 3
"92" 64.999375 0.511875 8
"93" 62.2933333333333 0.518333333333333 3
"94" 69.18767 0.448333333333333 15
"95" 60.0706666666667 0.433333333333333 6
"96" 59.101 0.459513888888889 2
"97" 57.6185 0.516333333333333 10
"98" 56.416 0.415 1
"99" 58.6114 0.492805555555556 5
"100" 57.372 0.52 1
"101" 59.75625 0.470416666666667 4
"102" 63.3982525 0.519756944444445 4
"104" 80.36288 0.490625 8
"105" 84.2324653846154 0.485384615384615 13
"106" 106.467289285714 0.502857142857143 14
"107" 121.581921666667 0.463541666666667 24
"108" 117.227920833333 0.47625 12
"109" 77.8321442857143 0.455833333333333 7
"110" 71.404505 0.52 2
"111" 71.3195025 0.482142857142857 8
"112" 69.4131275 0.509017857142857 8
"113" 70.7138642857143 0.469285714285714 7
"114" 71.0078922222222 0.538807319223986 9
"115" 79.712103 0.451833333333333 10
"116" 75.0458227272727 0.514090909090909 11
"117" 74.16087625 0.535625 8
"118" 80.9640042857143 0.564047619047619 14
"119" 75.3680033333333 0.499641203703704 12
"120" 86.3861478571429 0.586666666666667 14
"121" 92.41988 0.5846875 8
"122" 95.8520848 0.538266666666667 25
"123" 90.2521569230769 0.54948717948718 13
"124" 90.358303 0.578833333333333 10
"125" 97.0749136363636 0.514090909090909 11
"126" 96.4992033333333 0.517222222222222 15
"127" 82.93292 0.604722222222222 12
"128" 75.3480033333333 0.509583333333333 12
"129" 61.25875 0.49625 4
"130" 62.9467811111111 0.545661375661376 9
"131" 61.0110016666667 0.515671296296296 6
"132" 58.212125 0.509131944444444 8
"133" 57.863875 0.49625 8
"134" 59.5023 0.470902777777778 10
"135" 61.12 0.457777777777778 6
"136" 61.2721428571429 0.477210884353742 7
"137" 58.0296666666667 0.39 3
"138" 70.9300033333333 0.5625 6
"139" 69.9375 0.507013888888889 2
"140" 74.5313355555556 0.428386243386243 9
"141" 83.9732157142857 0.575168650793651 14
"142" 100.527395555556 0.569907407407407 18
"143" 108.164755 0.517916666666667 8
"144" 107.9963555 0.580166666666667 20
"145" 83.130406 0.64 5
"146" 78.5244 0.555 5
"147" 72.347255 0.49875 8
"148" 69.15882 0.447727272727273 11
"149" 69.0838469230769 0.444523809523809 13
"150" 69.8724328571429 0.454591836734694 14
"151" 73.4533355555556 0.507830687830688 9
"152" 74.2266464285714 0.505575396825397 14
"153" 73.14501 0.5425 4
"154" 76.1009441176471 0.506470588235294 17
"155" 73.7738585714286 0.497380952380952 7
"156" 81.978203 0.5165 10
"157" 80.343 0.468333333333333 2
"158" 86.001002 0.592555555555556 15
"159" 87.44204625 0.557083333333333 24
"160" 87.4414026666667 0.518555555555555 15
"161" 97.8257816666667 0.526851851851852 18
"162" 88.5750042857143 0.518214285714286 14
"163" 99.0372230434783 0.511014492753623 23
"164" 87.5187007692308 0.516538461538462 13
"165" 60.3836666666667 0.49515873015873 3
"166" 62.67400125 0.535684523809524 8
"167" 61.3723333333333 0.486111111111111 9
"168" 62.6762857142857 0.509591836734694 7
"169" 62.699004 0.484666666666667 10
"170" 58.6638888888889 0.442114197530864 9
"171" 57.6495 0.490173611111111 4
"172" 59.2948 0.411666666666667 5
"173" 58.5314 0.458805555555556 5
"174" 59.5422727272727 0.458939393939394 11
"175" 62.7453333333333 0.366944444444445 6
"176" 62.0348571428571 0.439047619047619 7
"177" 70.8222323076923 0.517179487179487 13
"178" 79.4079353333333 0.55 15
"179" 88.0853213636364 0.526136363636364 22
"180" 92.081505 0.540185185185185 18
