pele,sp,Genus,Species
49.09615385,Dacu,Dipterocarpus,acutangulus
4.846153846,Dcau,Dipterocarpus,caudiferus
31.61538462,Dcon,Dipterocarpus,conformis
57.88461538,Dgra,Dipterocarpus,grandiflorus
29.92307692,Dhum,Dipterocarpus,humeratus
31.07692308,Dker,Dipterocarpus,kerrii
10.23076923,Dkun,Dipterocarpus,kunstleri
20.48076923,Dry,Dryobalanops,lanceolata
46.42307692,Hbec,Hopea,beccariana
16.51923077,Pmal,Parashorea,malaanonan
12.57692308,Ptom,Parashorea,tomentella
25.80769231,Sacu,Shorea,acuminatissima
43.63461538,Saga,Shorea,agami
10.17307692,Salm,Shorea,almon
26.34615385,Sarg,Shorea,argentifolia
57.25,Sbec,Shorea,beccariana
37.98076923,Sfal,Shorea,falciferoides
14.75,Sfox,Shorea,foxworthyi
38.44230769,Sgib,Shorea,gibbosa
2.365384615,Sjoh,Shorea,johorensis
4.384615385,Slep,Shorea,leprosula
25.28846154,Smac,Shorea,macroptera
7.596153846,Smec,Shorea,mecistopteryx
61.46153846,Smul,Shorea,multiflora
10.05769231,Spar,Shorea,parvifolia
37.01923077,Spau,Shorea,pauciflora
27.73076923,Ssmi,Shorea,smithiana
0,Ssup,Shorea,superba
0,Ssym,Shorea,siamensis
8.807692308,Swal,Shorea,waltoni
13.17307692,Sxan,Shorea,xanthophylla
30.92307692,Unkn,NA,NA
16.40384615,Vobl,Vatica,oblongifolia
