resist	spp	resilience	rank_same_for_resistance_resilience
7.74E-05	SM2	3.92E-05	1
7.01E-05	KE	3.19E-05	2
5.63E-05	DO	1.81E-05	3
5.52E-05	SPC	1.70E-05	4
3.56E-05	SP	-2.61E-06	5
3.24E-05	SF	-5.84E-06	6
2.78E-05	SFG	-1.04E-05	7
2.70E-05	SA	-1.12E-05	8
2.69E-05	PT	-1.13E-05	9
1.84E-05	HF	-1.98E-05	10
1.61E-05	HN	-2.21E-05	11
1.13E-05	PM	-2.69E-05	12
8.77E-06	SM1	-2.94E-05	13
-4.22E-06	SG	-4.24E-05	14
-1.04E-05	DL	-4.86E-05	15
-1.50E-05	SM3	-5.32E-05	16
-4.06E-05	HS	-7.88E-05	17
-6.10E-05	SB	-9.93E-05	18
-0.000107308	SO	-1.46E-04	19
-0.000108482	DZ	-1.47E-04	20
