Number	Family	Species	dden	region	Reference_Number	
1	Fabaceae	Abarema_jupunba	0.780	South_America_(tropical)	114	
2	Fabaceae	Abarema_jupunba	0.660	South_America_(tropical)	198	
3	Fabaceae	Abarema_jupunba	0.551	South_America_(tropical)	52	
4	Fabaceae	Abarema_jupunba	0.534	South_America_(tropical)	65	
5	Fabaceae	Abarema_jupunba	0.551	South_America_(tropical)	189	
6	Fabaceae	Abarema_jupunba	0.500	South_America_(tropical)	204	
7	Fabaceae	Abarema_jupunba	0.520	South_America_(tropical)	45	
8	Fabaceae	Abarema_macradenia	0.438	Central_America_(tropical)	167	
9	Pinaceae	Abies_alba	0.353	Europe	28	
10	Pinaceae	Abies_amabilis	0.400	NorthAmerica	7	
11	Pinaceae	Abies_arizonica	0.289	NorthAmerica	118	
12	Pinaceae	Abies_balsamea	0.330	NorthAmerica	7	
13	Pinaceae	Abies_concolor	0.370	NorthAmerica	7	
14	Pinaceae	Abies_delavayi	0.400	China	32	
15	Pinaceae	Abies_ernestii	0.360	China	32	
16	Pinaceae	Abies_fabri	0.373	China	33	
17	Pinaceae	Abies_fargesii	0.340	China	32	
18	Pinaceae	Abies_faxoniana	0.385	China	33	
19	Pinaceae	Abies_forrestii	0.350	China	32	
20	Pinaceae	Abies_georgei	0.441	China	33	
21	Pinaceae	Abies_georgei	0.425	China	33	
22	Pinaceae	Abies_grandis	0.350	NorthAmerica	7	
23	Pinaceae	Abies_guatemalensis	0.430	Central_America_(tropical)	116	
24	Pinaceae	Abies_holophylla	0.336	China	33	
25	Pinaceae	Abies_lasiocarpa	0.310	NorthAmerica	7	
26	Pinaceae	Abies_magnifica	0.360	NorthAmerica	7	
27	Pinaceae	Abies_nephrolepis	0.331	China	33	
28	Pinaceae	Abies_nephrolepis	0.316	China	33	
29	Pinaceae	Abies_pindrow	0.380	India	109	
30	Pinaceae	Abies_pinsapo	0.410	Europe	76	
31	Pinaceae	Abies_procera	0.370	NorthAmerica	7	
32	Pinaceae	Abies_religiosa	0.380	Mexico	51	
33	Menispermaceae	Abuta_rufescens	0.450	South_America_(tropical)	45	
34	Fabaceae	Acacia_acradenia	0.904	Australia	90	
35	Fabaceae	Acacia_acuminata	0.895	Australia	90	
36	Fabaceae	Acacia_acuminata	1.008	Australia	90	
37	Fabaceae	Acacia_adsurgens	0.887	Australia	90	
38	Fabaceae	Acacia_albicorticata	0.490	South_America_(tropical)	44	
39	Fabaceae	Acacia_alleniana	0.560	Australia/PNG_(tropical)	90	
40	Fabaceae	Acacia_ampliceps	0.568	Australia	90	
41	Fabaceae	Acacia_amythethophylla	1.007	Africa_(extratropical)	72	
42	Fabaceae	Acacia_aneura	1.033	Australia/PNG_(tropical)	90	
43	Fabaceae	Acacia_aneura	1.035	Australia	90	
44	Fabaceae	Acacia_aneura	1.019	Australia	90	
45	Fabaceae	Acacia_aneura	0.929	Australia/PNG_(tropical)	90	
46	Fabaceae	Acacia_aneura	0.861	Australia	90	
47	Fabaceae	Acacia_aneura	0.996	Australia	90	
48	Fabaceae	Acacia_aneura	1.044	Australia	90	
49	Fabaceae	Acacia_aneura	0.920	Australia	58	
50	Fabaceae	Acacia_aneura	0.982	Australia	137	
51	Fabaceae	Acacia_angustissima	0.850	Mexico	23	
52	Fabaceae	Acacia_arabica	0.860	India	26	
53	Fabaceae	Acacia_aroma	0.808	South_America_(extratropical)	66	
54	Fabaceae	Acacia_atkinsiana	0.890	Australia	90	
55	Fabaceae	Acacia_aulacocarpa	0.581	Australia/PNG_(tropical)	90	
56	Fabaceae	Acacia_aulacocarpa	0.612	Australia/PNG_(tropical)	90	
57	Fabaceae	Acacia_aulacocarpa	0.594	Australia/PNG_(tropical)	90	
58	Fabaceae	Acacia_aulacocarpa	0.689	Australia/PNG_(tropical)	90	
59	Fabaceae	Acacia_aulacocarpa	0.860	Australia	90	
60	Fabaceae	Acacia_aulacocarpa	0.594	Australia/PNG_(tropical)	27	
61	Fabaceae	Acacia_auriculiformis	0.680	Australia	58	
62	Fabaceae	Acacia_bakeri	0.771	Australia/PNG_(tropical)	90	
63	Fabaceae	Acacia_bidwillii	0.670	Australia/PNG_(tropical)	90	
64	Fabaceae	Acacia_bivenosa	0.650	Australia	90	
65	Fabaceae	Acacia_bivenosa	0.620	Australia	90	
66	Fabaceae	Acacia_brachystachya	1.010	Australia	90	
67	Fabaceae	Acacia_brachystachya	0.970	Australia	90	
68	Fabaceae	Acacia_cambagei	1.048	Australia/PNG_(tropical)	90	
69	Fabaceae	Acacia_cambagei	1.099	Australia/PNG_(tropical)	90	
70	Fabaceae	Acacia_cambagei	1.060	Australia/PNG_(tropical)	90	
71	Fabaceae	Acacia_cambagei	1.158	Australia/PNG_(tropical)	90	
72	Fabaceae	Acacia_cambagei	1.050	Australia/PNG_(tropical)	90	
73	Fabaceae	Acacia_catechu	0.801	South_East_Asia_(tropical)	14	
74	Fabaceae	Acacia_caven	0.765	South_America_(extratropical)	66	
75	Fabaceae	Acacia_caven	0.800	South_America_(tropical)	110	
76	Fabaceae	Acacia_chisholmii	0.760	Australia/PNG_(tropical)	90	
77	Fabaceae	Acacia_chisholmii	0.827	Australia/PNG_(tropical)	90	
78	Fabaceae	Acacia_chundra	0.980	India	109	
79	Fabaceae	Acacia_citrinoviridis	0.880	Australia	90	
80	Fabaceae	Acacia_citrinoviridis	0.810	Australia	90	
81	Fabaceae	Acacia_cochliacantha	0.940	Mexico	23	
82	Fabaceae	Acacia_colei	0.610	Australia	90	
83	Fabaceae	Acacia_colei	0.766	Australia	90	
84	Fabaceae	Acacia_collinsii	0.800	Central_America_(tropical)	116	
85	Fabaceae	Acacia_concurrens	0.758	Australia/PNG_(tropical)	90	
86	Fabaceae	Acacia_confusa	0.713	China	33	
87	Fabaceae	Acacia_confusa	0.753	China	33	
88	Fabaceae	Acacia_confusa	0.672	China	33	
89	Fabaceae	Acacia_confusa	0.791	China	33	
90	Fabaceae	Acacia_coriacea	0.960	Australia	90	
91	Fabaceae	Acacia_coriacea	0.916	Australia/PNG_(tropical)	90	
92	Fabaceae	Acacia_craspedocarpa	0.887	Australia	90	
93	Fabaceae	Acacia_crassicarpa	0.577	Australia	90	
94	Fabaceae	Acacia_crassicarpa	0.618	Australia	90	
95	Fabaceae	Acacia_crassicarpa	0.581	Australia/PNG_(tropical)	90	
96	Fabaceae	Acacia_crassicarpa	0.610	Australia/PNG_(tropical)	90	
97	Fabaceae	Acacia_dealbata	0.568	South_America_(extratropical)	46	
98	Fabaceae	Acacia_dealbata	0.600	Australia	90	
99	Fabaceae	Acacia_dealbata	0.572	Australia	90	
100	Fabaceae	Acacia_dealbata	0.607	Australia/PNG_(tropical)	90	
101	Fabaceae	Acacia_decurrens	0.551	Australia/PNG_(tropical)	90	
102	Fabaceae	Acacia_decurrens	0.551	Australia/PNG_(tropical)	90	
103	Fabaceae	Acacia_decurrens	0.582	China	33	
104	Fabaceae	Acacia_decurrens	0.539	China	33	
105	Fabaceae	Acacia_dictyophleba	0.762	Australia	90	
106	Fabaceae	Acacia_difficilis	0.770	Australia	90	
107	Fabaceae	Acacia_difficilis	0.784	Australia	90	
108	Fabaceae	Acacia_doratoxylon	0.788	Australia/PNG_(tropical)	90	
109	Fabaceae	Acacia_elata	0.510	South_East_Asia_(tropical)	129	
110	Fabaceae	Acacia_erioloba	1.059	Africa_(extratropical)	72	
111	Fabaceae	Acacia_eriopoda	0.900	Australia	90	
112	Fabaceae	Acacia_excelsa	0.938	Australia/PNG_(tropical)	90	
113	Fabaceae	Acacia_excelsa	0.937	Australia/PNG_(tropical)	90	
114	Fabaceae	Acacia_fasciculifera	0.964	Australia/PNG_(tropical)	90	
115	Fabaceae	Acacia_ferruginea	0.880	India	109	
116	Fabaceae	Acacia_furcatispina	0.869	South_America_(extratropical)	66	
117	Fabaceae	Acacia_galpinii	0.659	Africa_(extratropical)	72	
118	Fabaceae	Acacia_georginae	0.775	Australia/PNG_(tropical)	90	
119	Fabaceae	Acacia_gerrardii	0.775	Africa_(extratropical)	72	
120	Fabaceae	Acacia_glaucocarpa	0.780	Australia/PNG_(tropical)	90	
121	Fabaceae	Acacia_goetzei	0.883	Africa_(extratropical)	72	
122	Fabaceae	Acacia_grasbyi	1.054	Australia	90	
123	Fabaceae	Acacia_grasbyi	0.860	Australia	90	
124	Fabaceae	Acacia_grasbyi	1.032	Australia	90	
125	Fabaceae	Acacia_harpophylla	0.908	Australia	90	
126	Fabaceae	Acacia_harpophylla	0.884	Australia	90	
127	Fabaceae	Acacia_harpophylla	0.883	Australia/PNG_(tropical)	90	
128	Fabaceae	Acacia_harpophylla	0.910	Australia/PNG_(tropical)	90	
129	Fabaceae	Acacia_hemignosta	0.646	Australia	90	
130	Fabaceae	Acacia_hemsleyi	0.600	Australia	90	
131	Fabaceae	Acacia_hindsii	0.780	Mexico	23	
132	Fabaceae	Acacia_holosericea	0.749	Africa_(tropical)	4	
133	Fabaceae	Acacia_implexa	0.589	Australia/PNG_(tropical)	90	
134	Fabaceae	Acacia_implexa	0.689	Australia/PNG_(tropical)	90	
135	Fabaceae	Acacia_irrorata	0.551	Australia/PNG_(tropical)	90	
136	Fabaceae	Acacia_jennerae	0.742	Australia	90	
137	Fabaceae	Acacia_karroo	0.689	Africa_(extratropical)	72	
138	Fabaceae	Acacia_laccata	0.723	Australia	90	
139	Fabaceae	Acacia_lasiocalyx	0.684	Australia	90	
140	Fabaceae	Acacia_leucophloea	0.450	Australia	60	
141	Fabaceae	Acacia_longifolia	0.510	Australia	129	
142	Fabaceae	Acacia_maconochieana	0.800	Australia	90	
143	Fabaceae	Acacia_maconochieana	0.801	Australia	90	
144	Fabaceae	Acacia_macracantha	0.730	South_America_(tropical)	44	
145	Fabaceae	Acacia_maidenii	0.620	Australia/PNG_(tropical)	90	
146	Fabaceae	Acacia_mangium	0.448	Australia/PNG_(tropical)	40	
147	Fabaceae	Acacia_mangium	0.474	Australia/PNG_(tropical)	203	
148	Fabaceae	Acacia_mangium	0.519	Australia/PNG_(tropical)	203	
149	Fabaceae	Acacia_mangium	0.474	Australia/PNG_(tropical)	203	
150	Fabaceae	Acacia_mangium	0.594	Australia/PNG_(tropical)	90	
151	Fabaceae	Acacia_mangium	0.490	Australia/PNG_(tropical)	129	
152	Fabaceae	Acacia_mangium	0.550	Australia/PNG_(tropical)	60	
153	Fabaceae	Acacia_mayana	0.730	Mexico	23	
154	Fabaceae	Acacia_mearnsii	0.671	Australia/PNG_(tropical)	46	
155	Fabaceae	Acacia_mearnsii	0.650	Australia/PNG_(tropical)	60	
156	Fabaceae	Acacia_mearnsii	0.658	Australia/PNG_(tropical)	63	
157	Fabaceae	Acacia_melanoxylon	0.568	South_America_(extratropical)	46	
158	Fabaceae	Acacia_melanoxylon	0.570	Australia	38	
159	Fabaceae	Acacia_melanoxylon	0.389	Oceania	203	
160	Fabaceae	Acacia_melanoxylon	0.416	Oceania	203	
161	Fabaceae	Acacia_melanoxylon	0.637	Australia	203	
162	Fabaceae	Acacia_melanoxylon	0.555	Australia	90	
163	Fabaceae	Acacia_melanoxylon	0.559	Australia	90	
164	Fabaceae	Acacia_melanoxylon	0.551	Australia/PNG_(tropical)	90	
165	Fabaceae	Acacia_mellifera	0.947	Africa_(extratropical)	72	
166	Fabaceae	Acacia_modesta	0.835	India	135	
167	Fabaceae	Acacia_murrayana	0.519	Australia	90	
168	Fabaceae	Acacia_nilotica	0.654	Australia	63	
169	Fabaceae	Acacia_nilotica	0.689	Australia	202	
170	Fabaceae	Acacia_nilotica	0.827	Australia	72	
171	Fabaceae	Acacia_omalophylla	1.063	Australia/PNG_(tropical)	90	
172	Fabaceae	Acacia_omalophylla	1.063	Australia/PNG_(tropical)	90	
173	Fabaceae	Acacia_oraria	0.920	Australia/PNG_(tropical)	129	
174	Fabaceae	Acacia_oshanesii	0.771	Australia/PNG_(tropical)	90	
175	Fabaceae	Acacia_oshanesii	0.771	Australia/PNG_(tropical)	90	
176	Fabaceae	Acacia_oswaldii	0.976	Australia	90	
177	Fabaceae	Acacia_pachycarpa	0.870	Australia	90	
178	Fabaceae	Acacia_pallidifolia	0.680	Australia	90	
179	Fabaceae	Acacia_papyrocarpa	1.073	Australia	90	
180	Fabaceae	Acacia_papyrocarpa	0.887	Australia	90	
181	Fabaceae	Acacia_papyrocarpa	0.966	Australia	90	
182	Fabaceae	Acacia_pellita	0.670	Australia	90	
183	Fabaceae	Acacia_pendula	0.994	Australia/PNG_(tropical)	90	
184	Fabaceae	Acacia_penninervis	0.605	Australia	90	
185	Fabaceae	Acacia_penninervis	0.668	Australia	90	
186	Fabaceae	Acacia_peuce	1.227	Australia/PNG_(tropical)	90	
187	Fabaceae	Acacia_podalyriifolia	0.680	Australia	129	
188	Fabaceae	Acacia_polyacantha	0.671	Australia	137	
189	Fabaceae	Acacia_polyacantha	0.607	Australia	72	
190	Fabaceae	Acacia_polyphylla	0.790	South_America_(tropical)	114	
191	Fabaceae	Acacia_polyphylla	0.637	South_America_(tropical)	57	
192	Fabaceae	Acacia_polyphylla	0.600	South_America_(tropical)	77	
193	Fabaceae	Acacia_polyphylla	0.490	South_America_(tropical)	44	
194	Fabaceae	Acacia_praecox	0.765	South_America_(extratropical)	66	
195	Fabaceae	Acacia_pruinocarpa	0.981	Australia	90	
196	Fabaceae	Acacia_pruinocarpa	0.897	Australia	90	
197	Fabaceae	Acacia_pubescens	0.600	Australia	38	
198	Fabaceae	Acacia_pubescens	0.587	Australia	90	
199	Fabaceae	Acacia_pubescens	0.664	Australia	90	
200	Fabaceae	Acacia_quadrimarginea	0.922	Australia	90	
201	Fabaceae	Acacia_ramulosa	1.007	Australia	90	
202	Fabaceae	Acacia_resinimarginea	0.996	Australia	90	
203	Fabaceae	Acacia_rhodoxylon	1.102	Australia/PNG_(tropical)	90	
204	Fabaceae	Acacia_richii	0.700	South_America_(tropical)	136	
205	Fabaceae	Acacia_robusta	0.732	Africa_(extratropical)	72	
206	Fabaceae	Acacia_salicina	0.581	Australia/PNG_(tropical)	90	
207	Fabaceae	Acacia_sclerosperma	0.860	Australia	90	
208	Fabaceae	Acacia_shirleyi	1.020	Australia/PNG_(tropical)	90	
209	Fabaceae	Acacia_shirleyi	1.000	Australia	90	
210	Fabaceae	Acacia_shirleyi	0.856	Australia/PNG_(tropical)	90	
211	Fabaceae	Acacia_shirleyi	0.904	Australia	90	
212	Fabaceae	Acacia_sibilans	0.970	Australia	90	
213	Fabaceae	Acacia_spectabilis	0.766	Australia/PNG_(tropical)	90	
214	Fabaceae	Acacia_stenophylla	0.775	Australia	90	
215	Fabaceae	Acacia_stenophylla	0.827	Australia/PNG_(tropical)	90	
216	Fabaceae	Acacia_stenophylla	0.690	Australia	90	
217	Fabaceae	Acacia_stipuligera	0.810	Australia	90	
218	Fabaceae	Acacia_subtessarogona	1.097	Australia	90	
219	Fabaceae	Acacia_suma	1.210	India	26	
220	Fabaceae	Acacia_tenuifolia	0.490	South_America_(tropical)	44	
221	Fabaceae	Acacia_tetragonophylla	0.874	Australia	90	
