"RP" "Forest" "Forest.1" "Area.ha." "ha4plot" "X20x20" "X10x10" "Tree" "Genus" "Species" "Family" "Diam2000" "BAm2" "CP" "POM" "Remarks" "unqeID" "x" "y" "elev" "sp" "dden"
"9400" "292/2" "S1" "Sandstone" 0.9 1 "U" 1 "1" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 58.6 0.27 "4" NA NA "1U1S1" 603309.0734 647206.1518 101.8074949 "Dacu" 0.635
"9457" "292/2" "S1" "Sandstone" 0.9 1 "U" 4 "53" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 73.5 0.424 "2" NA NA "4U1S1" 603303.0733 647184.6112 100.5493047 "Dacu" 0.635
"9660" "292/2" "S1" "Sandstone" 1 1 "X" 2 "24" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 58.1 0.265 "5" NA NA "2X1S1" 603377.7873 647219.5085 110.6778754 "Dacu" 0.635
"13488" "292/2" "S1" "Sandstone" 3.6 4 "J" 2 "19" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 99.3 0.774 "5" NA NA "2J4S1" 603326.522 647168.7948 100.5079648 "Dacu" 0.635
"13687" "292/2" "S1" "Sandstone" 3.6 4 "M" 4 "23" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 82.8 0.538 "5" NA NA "4M4S1" 603353.7869 647133.3459 112.0716954 "Dacu" 0.635
"14426" "292/3" "S2" "Sandstone" 0.1 1 "A" 3 "34" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 77.8 0.475 "4" NA NA "3A1S2" 603197.2895 648238.0977 92.44912619 "Dacu" 0.635
"14498" "292/3" "S2" "Sandstone" 0.1 1 "B" 4 "47" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 57.6 0.26 "4" NA NA "4B1S2" 603207.4409 648237.7621 90.73499511 "Dacu" 0.635
"14537" "292/3" "S2" "Sandstone" 0.2 1 "C" 3 "24" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 93.5 0.686 "5" NA NA "3C1S2" 603237.8952 648236.7552 89.5394944 "Dacu" 0.635
"14835" "292/3" "S2" "Sandstone" 0.4 1 "J" 4 "45" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 101.4 0.807 "5" NA NA "4J1S2" 603187.8397 648218.9539 82.88114819 "Dacu" 0.635
"14848" "292/3" "S2" "Sandstone" 0.5 1 "K" 1 "2" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 93.3 0.683 "5" NA NA "1K1S2" 603188.1905 648209.2142 79.19160397 "Dacu" 0.635
"14951" "292/3" "S2" "Sandstone" 0.6 1 "M" 3 "31" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 148.1 1.722 "5" NA NA "3M1S2" 603239.1133 648197.4153 95.36039259 "Dacu" 0.635
"15039" "292/3" "S2" "Sandstone" 0.6 1 "O" 2 "15" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 49.4 0.192 "4" NA NA "2O1S2" 603279.3035 648205.6792 89.37451411 "Dacu" 0.635
"15188" "292/3" "S2" "Sandstone" 0.7 1 "Q" 3 "33" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 85.4 0.573 "5" NA NA "3Q1S2" 603259.9143 648176.8456 95.89004478 "Dacu" 0.635
"15252" "292/3" "S2" "Sandstone" 0.8 1 "R" 3 "30" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 45.2 0.16 "3" NA NA "3R1S2" 603239.7224 648177.7454 94.84974442 "Dacu" 0.635
"15724" "292/3" "S2" "Sandstone" 1.2 2 "B" 1 "12" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 87.3 0.598 "4" NA NA "1B2S2" 603308.7154 648244.3741 101.5370651 "Dacu" 0.635
"15756" "292/3" "S2" "Sandstone" 1.2 2 "B" 3 "37" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 114.3 1.026 "5" NA NA "3B2S2" 603319.1066 648234.0701 99.8205246 "Dacu" 0.635
"15915" "292/3" "S2" "Sandstone" 1.2 2 "E" 3 "30" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 96.4 0.729 "5" NA NA "3E2S2" 603380.0151 648232.0564 107.817635 "Dacu" 0.635
"16938" "292/3" "S2" "Sandstone" 2 2 "X" 2 "21" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 86.3 0.585 "4" NA NA "2X2S2" 603361.0669 648162.2828 110.4742134 "Dacu" 0.635
