"sp" "rr"
"Dry" "Dry" 0.0766533828198878
"Pmal" "Pmal" 0.288670369922026
"Ptom" "Ptom" 0.214935446896718
"Sacu" "Sacu" 0.356604838625056
"Sbec" "Sbec" 0.383044062990295
"Sfal" "Sfal" 0.0688262006843305
"Sgib" "Sgib" 0.341269034619023
"Slep" "Slep" 0.114804833646744
"Smac" "Smac" 0.238427536565969
"Smec" "Smec" 0.123019570003648
"Spar" "Spar" 0.238380636435446
"Spau" "Spau" 0.0987600113305324
"Ssem" "Ssem" 0.0735004047772584
"Ssmi" "Ssmi" 0.350588372778135
"Swal" "Swal" 0.167532446996717
"Sxan" "Sxan" 0.0819520168000532
