"sp" "fullname" "dden" "elev" "Drought" "sd" "Inundation" "sd.1" "dry_month" "co_var_75" "dry_quar" "wet_month" "co_var_25" "wet_quar"
"1" "Acos" "Anisoptera_costata" 0.55 34.507975 -5.7839081097704e-05 5.64939542624751e-05 0.277084842546956 0.101957038860186 2 12.4631463865564 18 554.425 102.826014249599 1453
"2" "Dacu" "Dipterocarpus_acutangulus" 0.64 36 -0.000119246496746929 6.01881514462902e-05 0.213928900339702 0.107564091417584 90 11.1469360479842 309 477.075 44.5220628069006 1280.075
"3" "Dapp" "Dipterocarpus_applanatus" 0.64 16 3.1172401372725e-05 5.87734470539767e-05 0.0614239604959001 0.102029736391467 151.475 19.3544743162623 488.9 727.1 49.5711988154366 1788.85
"4" "Dcau" "Dipterocarpus_caudiferus_" 0.69 16 7.11544038588272e-06 5.77026805907062e-05 0.0255617106490973 0.104718245142582 93 10.9883907607368 322 484.025 41.4512186872118 1285.125
"5" "Dcon" "Dipterocarpus_confertus" 0.64 28.206715 -5.64051232924413e-05 5.55604039292417e-05 0.150777105141693 0.108164746903202 90 10.9892140687257 309.975 483.025 44.8310007676563 1285
"6" "Dgra" "Dipterocarpus_grandiflorus" 0.65 40.68457 -0.000160625453174489 5.55971713111092e-05 0.246453129334356 0.106901863570039 2 13.6861518172067 10 768.649999999999 112.593532976558 2075.55
"7" "Dhum" "Dipterocarpus_humeratus" 0.63 26.5 -4.30904983663903e-05 5.82373299109249e-05 0.146769073559512 0.102981231225718 84 12.0388381958741 291 452 45.0848453703637 1247.15
"8" "Dker" "Dipterocarpus_kerrii" 0.61 26.99751 -3.44977594081047e-05 5.98038668813729e-05 0.170556714176345 0.106803551788773 93 12.0507827530039 312.6 512.4 40.9916073708836 1327.8
"9" "Dkun" "Dipterocarpus_kunstleri" 0.62 17 3.27151736933855e-05 5.78736542796283e-05 0.0916249041471636 0.10312292267545 82 12.1115153201802 280 451.7 47.3659553920173 1232.7
"10" "Dry" "Dryobalanops_lanceolata" 0.59 21 2.04485014479369e-05 5.96028739366695e-05 0.142378451229179 0.105270835624176 91.85 10.381815852428 317.7 468 40.6775609218578 1261.3
"11" "Hbec" "Hopea_beccariana" 0.59 34.98642 -8.5682733879192e-05 5.76497121682867e-05 0.240613048827919 0.100429035483047 89.65 11.6157383937397 307 504 47.7487018007489 1290.7
"12" "Hner" "Hopea_nervosa" 0.61 7 0.000122362279985063 5.81322866333673e-05 0.0217842336769783 0.108945214071326 102 11.169684526939 356 522.2 42.327153311345 1335
"13" "Hsan" "Hopea_sangal_" 0.71 16.5 -1.31158875035311e-05 5.84029984693132e-05 0.0115604512459789 0.104015766787514 74 12.1729582813926 252 450.625 50.9120734526769 1231.625
"14" "Hsem" "Hopea_semicuneata" 0.81 47 -0.000299176239789376 6.00699055344733e-05 0.156985290167963 0.107520912214491 81 11.9067302733921 276.45 452 47.8208020748067 1245
"15" "Pmal" "Parashorea_malaanonan" 0.39 20 0.000141500152095013 5.71925894691532e-05 0.297239869356098 0.104600520260201 32.775 9.49872393423989 130.55 465 68.6132181644637 1199.15
"16" "Ptom" "Parashorea_tomentella" 0.34 18 0.000185603849784493 5.52721106759324e-05 0.317119841925359 0.103587582586425 83.85 9.04111656579033 302.7 383.6 29.9009353377302 973.35
"17" "Sacu" "Shorea_acuminatissima" 0.37 24.9618 0.000116977280952361 5.57408024311997e-05 0.352718240426113 0.106441399381709 105 10.7367558793444 376 536.15 49.5202778457802 1401.3
"18" "Saga" "Shorea_agamii" 0.53 30 -1.01280010709449e-05 5.78214106304318e-05 0.247720118223815 0.104594367130463 NA NA NA NA NA NA
"19" "Salm" "Shorea_almon" 0.39 19 0.000149062124373745 5.86940588545527e-05 0.288952724410725 0.110935047646626 69 9.47074369540505 257 458 48.4024835951021 1160
"20" "Sarg" "Shorea_argentifolia" 0.51 26.13478 2.73254039685904e-05 5.70038201157986e-05 0.24751846143657 0.103594749660683 98 10.5307951673049 357.7 464.3 48.8878745201923 1173
"21" "Sbec" "Shorea_beccariana" 0.41 39.005355 -9.44747246234209e-06 5.45654520494152e-05 0.424473398086157 0.100794354104079 109 10.5440479968186 378.05 494.9 44.5457217177288 1306.8
"22" "Scon" "Shorea_confusa" 0.47 31.69933 1.12537117221558e-05 6.04502763832772e-05 0.318285963841618 0.102694091692246 91 10.1240233068381 314 425.45 39.5395611641629 1173
