sp	count	sum	mean	median	stdev	min	max	range	minority	majority	variety
Ssmi	1093	268974	246.0878317	242	67.65410093	97	490	393	97	161	270
Sxan	629	184267	292.9523052	312	102.4061443	97	575	478	97	341	297
Swal	33	7623	231	225	27.42482839	189	292	103	189	199	29
Smac	405	90411	223.237037	201	75.74191469	97	490	393	97	161	180
Spar	2407	698319	290.1200665	286	81.32882754	97	760	663	97	341	375
Smec	2407	698319	290.1200665	286	81.32882754	97	760	663	97	341	375
Spau	2407	698319	290.1200665	286	81.32882754	97	760	663	97	341	375
Slep	2407	698319	290.1200665	286	81.32882754	97	760	663	97	341	375
Sbec	1316	397005	301.6755319	300.5	97.95815298	97	760	663	97	339	375
Pmal	287	72823	253.738676	234	90.91856832	97	490	393	97	191	191
Ptom	237	46973	198.1983122	195	38.11960299	97	309	212	97	158	119
Sfal	1440	419464	291.2944444	291.5	98.50663104	97	760	663	97	341	361
Sgib	2407	698319	290.1200665	286	81.32882754	97	760	663	97	341	375
Dry	1008	269363	267.2251984	244	91.52921448	97	575	478	97	161	323
