sp	fullname	species	genus	Cap
Acos	Anisoptera_costata	costata	Anisoptera	A.
Dacu	Dipterocarpus_acutangulus	acutangulus	Dipterocarpus	D.
Dapp	Dipterocarpus_applanatus	applanatus	Dipterocarpus	D.
Dcau	Dipterocarpus_caudiferus_	caudiferus	Dipterocarpus	D.
Dcon	Dipterocarpus_confertus	confertus	Dipterocarpus	D.
Dgra	Dipterocarpus_grandiflorus	grandiflorus	Dipterocarpus	D.
Dhum	Dipterocarpus_humeratus	humeratus	Dipterocarpus	D.
Dker	Dipterocarpus_kerrii	kerrii	Dipterocarpus	D.
Dkun	Dipterocarpus_kunstleri	kunstleri	Dipterocarpus	D.
Dry	Dryobalanops_lanceolata	lanceolata	Dryobalanops	D.
Hbec	Hopea_beccariana	beccariana	Hopea	H.
Hner	Hopea_nervosa	nervosa	Hopea	H.
Hsan	Hopea_sangal_	sangal	Hopea	H.
Hsem	Hopea_semicuneata	semicuneata	Hopea	H.
Pmal	Parashorea_malaanonan	malaanonan	Parashorea	P.
Ptom	Parashorea_tomentella	tomentella	Parashorea	P.
Sacu	Shorea_acuminatissima	acuminatissima	Shorea	S.
Saga	Shorea_agamii	agamii	Shorea	S.
Salm	Shorea_almon	almon	Shorea	S.
Sarg	Shorea_argentifolia	argentifolia	Shorea	S.
Sbec	Shorea_beccariana	beccariana	Shorea	S.
Scon	Shorea_confusa	confusa	Shorea	S.
Sfal	Shorea_falciferoides	falciferoides	Shorea	S.
Sfox	Shorea_foxworthyi	foxworthyi	Shorea	S.
Sgib	Shorea_gibbosa	gibbosa	Shorea	S.
Sjoh	Shorea_johorensis	johorensis	Shorea	S.
Slep	Shorea_leprosula	leprosula	Shorea	S.
Smac	Shorea_macroptera	macroptera	Shorea	S.
Smec	Shorea_mecistopteryx	mecistopteryx	Shorea	S.
Smul	Shorea_multiflora	multiflora	Shorea	S.
Spar	Shorea_parvifolia	parvifolia	Shorea	S.
Spau	Shorea_pauciflora	pauciflora	Shorea	S.
Ssem	Shorea_seminis	seminis	Shorea	S.
Ssmi	Shorea_smithiana	smithiana	Shorea	S.
Ssup	Shorea_superba	superba	Shorea	S.
Ssym	Shorea_symingtonii	symingtonii	Shorea	S.
Swal	Shorea_waltoni	waltoni	Shorea	S.
Sxan	Shorea_xanthophylla	xanthophylla	Shorea	S.
Vmic	Vatica_micrantha	micrantha	Vatica	V.
Vobl	Vatica_oblongifolia	oblongifolia	Vatica	V.
Vras	Vatica_rassak	rassak	Vatica	V.
