sp	si	raden	rwden	rdden	wden	dden	slm	adden	rgr	pmort	pleaf	rootTstem	leafTbio	betaS	betaR	betaA	betaE
Dry	0.0372	0.12	0.58	0.46	1.08	0.42	5.43	0.59	0.1047	3.57E-05	0.000808767	0.736364769	0.36164555	-0.190666695	-0.01461537	-0.064808635	-0.168810465
Pmal	0.0313	0.15	0.48	0.54	1.06	0.49	4.96	0.39	0.08073	0.001503439	0.011795939	1.108219335	0.307792273	-4.310712813	-0.043958383	-0.541763316	-0.104997262
Ptom	0.0262	0.13	0.52	0.53	1.14	0.52	4.92	0.31	0.07628	0.002133482	0.011108997	1.257391963	0.290252763	-2.011489365	-0.02265821	-0.403711248	-0.254253362
Sbec	0.037	0.1	0.58	0.46	1.04	0.42	5.37	0.41	0.08377	0.001444488	0.009279014	0.723698094	0.32662897	-1.662490591	-0.044422583	-0.280310152	-0.056683639
Sjoh	0.0449	0.19	0.54	0.43	1.06	0.39	4.73	0.4	0.08104	0.001387849	0.015922852	1.442029458	0.242364619	-2.944296932	-0.036707395	-0.476429182	-0.161476207
Slep	0.055	0.25	0.51	0.36	0.96	0.4	4.44	0.42	0.103069	0.000176887	0.005143611	1.030179235	0.246401415	-1.004963978	-0.016658492	-0.552474937	-0.19821674
Spar	0.0423	0.2	0.52	0.4	1.07	0.39	4.81	0.36	0.081742	0.001645025	0.010254896	1.181520483	0.298487654	-3.661200721	-0.048420284	-0.897515542	-0.278898383
Ssem	0.014	0.12	0.53	0.52	1.12	0.5	5.16	0.72	0.0819822	0.000636198	0.005353525	1.022393486	0.257097043	-4.62939269	-0.042590026	-0.570588438	-0.198078689
Ssmi	0.0293	0.13	0.62	0.38	1.02	0.37	4.63	0.31	0.10058	0.000792752	0.008395999	0.881318759	0.249740528	-1.576514692	-0.042662965	-0.701435311	-0.149997553
Sxan	0.006	0.16	0.59	0.41	1.16	0.57	6.96	0.51	0.07022	0.00504176	0.012525359	1.135613149	0.369204642	-2.536667924	-0.016844441	-0.522261841	-0.042894552
