"e" "d" "n"
"1" 75.27112625 0.496128472222222 8
"2" 70.5757525 0.485267857142857 8
"3" 69.39275 0.425 4
"4" 69.290005 0.410833333333333 6
"5" 71.95725375 0.475 8
"6" 77.32243 0.504285714285714 7
"7" 83.29263125 0.47125 8
"8" 85.9458585714286 0.575 7
"9" 80.339835 0.600833333333333 6
"10" 79.04925 0.56625 4
"11" 77.71634 0.495 3
"12" 86.3941725 0.574027777777778 12
"13" 95.422267368421 0.532317251461988 19
"14" 101.701256875 0.5409375 16
"15" 72.9671155555556 0.578148148148148 9
"16" 61.822202 0.566376984126984 10
"17" 70.043505 0.563571428571429 6
"18" 69.065802 0.537 5
"19" 61.765601 0.513 10
"20" 58.1305 0.6 2
"21" 69.313204 0.588 10
"22" 62.935 0.541666666666667 3
"23" 58.025 0.595 6
"24" 57.5718 0.46 5
"25" 58.0475 0.4675 2
"26" 59.3773076923077 0.452564102564103 13
"27" 68.1137171428571 0.546428571428571 7
"28" 75.80787875 0.479791666666667 8
"29" 86.1744472222222 0.550740740740741 18
"30" 71.92975 0.43625 4
"31" 95.990818125 0.524626736111111 16
"32" 101.465089166667 0.569166666666667 12
"33" 94.292206 0.556555555555555 15
"34" 95.0895771428571 0.537857142857143 7
"35" 109.822945625 0.4659375 16
"36" 126.574055 0.528 20
"37" 126.373007058824 0.535882352941176 17
"38" 72.4436666666667 0.458055555555555 6
"39" 77.39167 0.498333333333333 3
"40" 72.0105 0.451875 8
"41" 70.101404 0.488236111111111 10
"42" 71.110101 0.516902777777778 10
"43" 75.3404477777778 0.518333333333333 9
"44" 77.4 0.505 4
"45" 82.749604 0.460805555555556 5
"46" 75.681802 0.517 5
"47" 74.6957525 0.46375 4
"48" 81.8393383333333 0.543888888888889 6
"49" 92.64744 0.530217391304348 23
"50" 97.9918927777778 0.533611111111111 18
"51" 93.3553115384615 0.580641025641026 13
"52" 87.499403 0.532833333333333 10
"53" 70.0585025 0.582291666666667 8
"54" 87.6535016666667 0.583611111111111 6
"55" 82.2620033333333 0.506666666666667 6
"56" 77.0272772727273 0.529015151515152 11
"57" 57.792 0.426666666666667 1
"58" 62.3545742857143 0.526289682539683 7
"59" 70.24375375 0.560625 16
"60" 61.5216666666667 0.503888888888889 6
"61" 59.0275 0.39 2
"62" 57.99 0.423888888888889 3
"63" 61.212 0.542256944444444 4
"64" 65.673 0.45875 4
"65" 66.1087525 0.43 4
"66" 72.226602 0.544666666666667 5
"67" 64.6657142857143 0.459761904761905 7
"68" 79.849691875 0.505876736111111 16
"69" 86.8872185714286 0.536153846153846 14
"70" 85.40513 0.535295138888889 8
"71" 90.5007738461538 0.522884615384615 13
"72" 108.194374210526 0.532543859649123 19
"73" 120.38633952381 0.516904761904762 21
"74" 118.542963333333 0.515579710144928 24
"75" 85.911304 0.499833333333333 10
"76" 74.8540014285714 0.493571428571429 7
"77" 71.153835 0.456666666666666 6
"78" 69.915255 0.486785714285714 4
"79" 72.605835 0.498888888888889 6
"80" 77.4405742857143 0.519285714285714 7
"81" 71.8177525 0.448333333333333 4
"82" 84.1028227272727 0.53354797979798 11
"83" 81.1093825 0.525 8
"84" 80.026 0.536666666666667 3
"85" 84.1175033333333 0.600833333333333 6
"86" 80.93625625 0.628541666666667 8
"87" 87.032005 0.5065 10
"88" 100.49985 0.525128205128205 13
"89" 92.8226706666667 0.493666666666667 15
"90" 89.876688125 0.555729166666667 16
"91" 101.126578571429 0.539285714285714 7
"92" 98.1465453846154 0.521025641025641 13
"93" 88.2575075 0.54 4
"94" 61.5228 0.499 5
"95" 68.075 0.565 2
"96" 67.4100954545455 0.497727272727273 11
"97" 66.801 0.446666666666667 9
"98" 58.662375 0.423836805555556 8
"99" 57.3146 0.545 5
"100" 57.2211666666667 0.478055555555556 6
"102" 59.023 0.49900462962963 6
"103" 60.42075 0.440173611111111 4
"104" 60.783802 0.530333333333333 5
"105" 63.1733333333333 0.539675925925926 3
"107" 80.6032266666667 0.47516975308642 9
"108" 88.15286 0.479285714285714 7
"109" 106.565005 0.459166666666667 14
"110" 122.071179130435 0.459782608695652 23
"111" 114.667671666667 0.504166666666667 12
"112" 80.3180033333333 0.408333333333333 3
"113" 72.10834 0.52 3
"114" 72.280755 0.486785714285714 4
"115" 69.94443 0.48 7
"116" 71.740608 0.462 5
"117" 71.8123355555555 0.489204144620811 9
"118" 78.907202 0.484 5
"119" 77.2335407692308 0.486153846153846 13
"120" 80.8618628571429 0.558571428571429 7
"121" 80.8266192307692 0.543258547008547 13
"122" 75.9874191666667 0.562083333333333 12
"123" 81.5429261538462 0.528333333333333 13
"124" 96.5444073333333 0.518666666666667 15
"125" 98.346905 0.534833333333333 20
"126" 92.9002244444444 0.53 9
"127" 89.808755 0.515625 8
"128" 92.079505 0.585416666666667 8
"129" 97.08742 0.515277777777778 12
"130" 74.0043366666667 0.646111111111111 6
"131" 63.6666666666667 0.485 3
"132" 65.3761428571429 0.514285714285714 7
"133" 64.585505 0.473333333333333 2
"134" 64.5391275 0.509642857142857 8
"135" 57.90775 0.473506944444444 4
"136" 57.7026 0.386333333333333 5
"137" 57.9736666666667 0.479444444444445 6
"138" 60.4683333333333 0.476003086419753 9
"139" 61.319 0.45 4
"140" 59.7583333333333 0.451388888888889 6
"141" 60.342 0.52 1
"142" 72.276804 0.547 5
"143" 76.2285 0.424513888888889 2
"144" 74.79317 0.459107142857143 6
"145" 84.4053558823529 0.544019607843137 17
"146" 105.302777727273 0.56469696969697 22
"147" 114.763171666667 0.50375 12
"148" 114.642934285714 0.584285714285714 14
"149" 80.53850375 0.553571428571429 8
"151" 70.4828366666667 0.464166666666667 6
"152" 68.9303366666667 0.515555555555556 3
"153" 69.6068366666667 0.473829365079365 12
"154" 70.0441275 0.468869047619047 8
"155" 74.6619208333333 0.502123015873016 12
"156" 77.1762255555555 0.534151234567901 9
"157" 71.888255 0.504878472222222 8
"158" 76.7950936363636 0.548636363636364 11
"159" 78.5277525 0.491961805555556 8
"160" 84.4571584615385 0.542179487179487 13
"161" 86.2933366666667 0.5525 3
"162" 90.9197353333333 0.591666666666667 15
"163" 89.0179314285714 0.567023809523809 14
"164" 86.7955588888889 0.559074074074074 9
"165" 93.2697166666667 0.517539682539683 21
"166" 99.4778452631579 0.516578947368421 19
"167" 90.2300891666667 0.5125 12
"168" 90.2297272222222 0.519166666666667 18
"169" 68.2460042857143 0.551428571428571 7
"170" 61.4733333333333 0.586666666666667 3
"171" 62.206702 0.515047619047619 10
"172" 60.94475 0.489756944444445 4
"173" 59.0795714285714 0.505813492063492 7
"174" 58.37875 0.495295138888889 8
"175" 57.776 0.388333333333333 3
"176" 58.0065 0.408333333333334 2
"177" 60.9046 0.464428571428571 5
"178" 58.3012 0.442 5
"179" 63.2271683333333 0.5125 6
"180" 70.59 0.378888888888889 3
"181" 67.396875 0.436041666666667 8
"182" 76.1176 0.531402777777778 10
"183" 85.4753123076923 0.564871794871795 13
"184" 93.728305 0.525 10
"185" 101.414005333333 0.546222222222222 15
