site,plot,species,Sp,top_volume,bottom_volume,top_weight,bottom_weight,top_density,bottom_density
A1,P5H,aSacu1?,Sacu,0.97,1.37,0.4,0.7,0.412371134,0.5109489051
A1,P5H,dry13,Dry,0.83,4.41,0.3,2.3,0.3614457831,0.5215419501
A1,P6W,dry19,Dry,2.89,4.59,1.6,2.4,0.553633218,0.522875817
A1,P8L,dry20,Dry,11.27,38.03,4.8,21.3,0.4259094942,0.5600841441
A1,P5H,dry22,Dry,0.93,3.78,0.4,2,0.4301075269,0.5291005291
A1,P6L,dry25,Dry,2.35,6.08,1,3.4,0.4255319149,0.5592105263
A1,P6H,dry41,Dry,5.68,13.67,2.8,7.3,0.4929577465,0.5340160936
A1,P5H,dry59,Dry,2.67,5.49,1.4,2.9,0.5243445693,0.5282331512
A1,P5H,dslep1?,Slep,1.75,9.35,0.6,3.8,0.3428571429,0.4064171123
A2,P6L,pmal11,Pmal,6.47,8.17,2.8,4.3,0.4327666151,0.5263157895
A1,P5H,pmal19,Pmal,2.36,4.7,1.1,2.6,0.4661016949,0.5531914894
A2,P6H,pmal22,Pmal,3.58,14.02,1.8,7.8,0.5027932961,0.5563480742
A1,P6H,pmal24,Pmal,4.65,7.1,2.6,3.9,0.5591397849,0.5492957746
A2,P6L,pmal62,Pmal,7.43,14,3.2,6.4,0.4306864065,0.4571428571
A1,P5H,pmal62,Pmal,2.43,3.5,1.1,1.7,0.4526748971,0.4857142857
A2,P1H,ptom11,Ptom,6.66,6.68,2.3,4.1,0.3453453453,0.6137724551
A1,P6H,ptom15,Ptom,3.33,5.78,1.4,3,0.4204204204,0.5190311419
A1,P6L,ptom35,Ptom,11.76,27.18,4.5,13.5,0.3826530612,0.4966887417
A2,P6L,ptom36,Ptom,8.89,14.21,3,6.4,0.3374578178,0.4503870514
A2,P4L,ptom63,Ptom,2.72,5.93,1.5,3.4,0.5514705882,0.5733558179
A2,P1H,sacu17,Sacu,2.46,2.7,1.2,1.7,0.487804878,0.6296296296
A2,P1H,sacu25,Sacu,3.32,4.29,1.5,2.5,0.4518072289,0.5827505828
A2,P1H,sacu28,Sacu,2.89,4.04,1.3,2.3,0.4498269896,0.5693069307
A2,P6H,sacu41,Sacu,2.92,5.84,1.4,3.1,0.4794520548,0.5308219178
A1,P5H,sacu57,Sacu,2.74,3.41,1.4,2,0.5109489051,0.5865102639
,P5H,sbec1?27,Sbec,1.95,2.48,0.7,1,0.358974359,0.4032258065
A1,P6H,sbec1,Sbec,5.49,8.79,1.9,3.8,0.3460837887,0.4323094425
A1,P6H,sbec29,Sbec,2.6,7.02,1,2.6,0.3846153846,0.3703703704
A2,P5H,sbec30,Sbec,2.49,2.78,1.1,1.3,0.4417670683,0.4676258993
A2,P1H,sbec42,Sbec,4.1,9.77,1.8,4.5,0.4390243902,0.460593654
A2,P6L,sbec52,Sbec,4.97,8.77,1.7,3.5,0.3420523139,0.3990877993
A2,P6?,sbec59,Sbec,2.39,4.48,1.2,2,0.5020920502,0.4464285714
A1,P6L,sfal13,Sfal,1.85,3.23,1.1,2.1,0.5945945946,0.6501547988
,P5H,sfal2?,Sfal,0.63,1.75,0.3,1,0.4761904762,0.5714285714
A2,P1H,sfal31,Sfal,1.16,2.78,0.7,1.8,0.6034482759,0.6474820144
A1,P8L,sfal35,Sfal,13.82,29.02,6,15.7,0.4341534009,0.5410062026
A2,,sfal50,Sfal,3.7,8.47,2.1,4.6,0.5675675676,0.5430932704
A1,P5H,sfal55,Sfal,1.53,3.14,0.8,2,0.522875817,0.6369426752
A2,P5H,sgib14,Sgib,0.51,1.28,0.3,0.8,0.5882352941,0.625
A2,P1H,sgib18,Sgib,0.32,0.81,0.2,0.5,0.625,0.6172839506
A2,P8H,sgib19,Sgib,1.04,2.23,0.5,1.5,0.4807692308,0.6726457399
A2,P1H,sgib3,Sgib,0.81,1.85,0.4,1.1,0.4938271605,0.5945945946
A2,P6H,sgib49,Sgib,0.98,2.09,0.5,1.2,0.5102040816,0.5741626794
A1,P8L,sgib5,Sgib,1.28,3.82,0.6,2,0.46875,0.5235602094
A1,P5H,sgib51,Sgib,1.11,1.83,0.5,0.9,0.4504504505,0.4918032787
A1,P6H,slep28,Slep,17.24,21.05,4.4,6.5,0.2552204176,0.3087885986
A1,P5H,slep39,Slep,2.92,4.3,0.9,1.5,0.3082191781,0.3488372093
A1,P6H,slep4,Slep,5.74,4.94,1.8,2.1,0.3135888502,0.4251012146
A1,P5H,slep42,Slep,3.6,14.02,1.4,5.5,0.3888888889,0.392296719
A1,P6H,slep5,Slep,24.03,22.84,6.5,7.6,0.2704952143,0.3327495622
A1,P5H,smac15,Smac,1.76,2.4,0.5,1,0.2840909091,0.4166666667
A1,P8L,smac15,Smac,9.11,26.16,2.9,10.7,0.3183315038,0.4090214067
A1,P8L,smac23,Smac,18.24,51.85,6,21,0.3289473684,0.4050144648
A1,P6H,smac26,Smac,2.52,8.84,0.9,4.1,0.3571428571,0.463800905
A1,P5H,smac56,Smac,2.92,5.41,1,2.1,0.3424657534,0.3881700555
A1,P5H,smac63,Smac,4.42,3.86,1.6,1.5,0.3619909502,0.3886010363
A1,P6H,smec14,Smec,10.28,17.25,4.6,9.6,0.4474708171,0.5565217391
A1,P5H,smec25,Smec,2.42,5.24,1,2.5,0.4132231405,0.4770992366
A1,P8L,smec28,Smec,4.71,10.48,2.1,4.7,0.4458598726,0.4484732824
A1,P6H,smec35,Smec,9.07,11.26,4.1,6,0.4520396913,0.5328596803
