species,top_volume,bottom_volume,top_weight,bottom_weight,top_density,bottom_density,site,plot,block,position,Sp,number,height,Dia,sampleWoodTip,sampleWoodBase
aSacu1?,0.97,1.37,0.4,0.7,0.412371134,0.5109489051,A1,5,H,9,sacu,1,67,5.2,35,50
dry13,0.83,4.41,0.3,2.3,0.3614457831,0.5215419501,A1,5,H,13,dry,1,144,11.42,40,138
dry19,2.89,4.59,1.6,2.4,0.553633218,0.522875817,A1,6,L,19,dry,3,88,9.45,50,80
dry20,11.27,38.03,4.8,21.3,0.4259094942,0.5600841441,A1,8,L,20,dry,3,328,23.91,100,220
dry22,0.93,3.78,0.4,2,0.4301075269,0.5291005291,A1,5,H,22,dry,3,96,8.32,50,87
dry25,2.35,6.08,1,3.4,0.4255319149,0.5592105263,A1,6,L,25,dry,4,137,11.38,70,128
dry41,5.68,13.67,2.8,7.3,0.4929577465,0.5340160936,A1,6,L,41,dry,2,114,14.55,60,106
dry59,2.67,5.49,1.4,2.9,0.5243445693,0.5282331512,A1,5,H,59,dry,4,127,13.51,80,120
dslep1?,1.75,9.35,0.6,3.8,0.3428571429,0.4064171123,A1,5,H,1,slep,1,159,12.5,23,155
pmal11,6.47,8.17,2.8,4.3,0.4327666151,0.5263157895,A2,6,L,11,pmal,3,164,11.48,90,156
pmal19,2.36,4.7,1.1,2.6,0.4661016949,0.5531914894,A1,5,H,19,pmal,2,112,12.45,50,106
pmal22,3.58,14.02,1.8,7.8,0.5027932961,0.5563480742,A2,6,H,22,pmal,3,105,21.68,50,98
pmal24,4.65,7.1,2.6,3.9,0.5591397849,0.5492957746,A1,6,H,24,pmal,2,90,12.5,52,83
pmal62,2.43,3.5,1.1,1.7,0.4526748971,0.4857142857,A1,5,H,62,pmal,1,90,8.32,50,84
pmal62,7.43,14,3.2,6.4,0.4306864065,0.4571428571,A2,6,L,62,pmal,4,142,15.61,70,135
ptom11,6.66,6.68,2.3,4.1,0.3453453453,0.6137724551,A2,1,H,11,ptom,2,67,10.4,30,58
