"x" "y" "Q" "X10x10" "X20x20" "ha4plot" "Forest" "unqeID"
"1" 604286.346285 648267.229389966 2 1 "A" 1 "A1" "1A1A1"
"2" 604296.53847075 648267.460320473 2 1 "A" 1 "A1" "1A1A1"
"3" 604296.55967 648277.663344979 2 1 "A" 1 "A1" "1A1A1"
"4" 604286.3686 648277.443099976 2 1 "A" 1 "A1" "1A1A1"
"5" 604296.53847075 648267.460320473 4 2 "A" 1 "A1" "2A1A1"
"6" 604306.7306565 648267.69125098 4 2 "A" 1 "A1" "2A1A1"
"7" 604306.75074 648277.883589983 4 2 "A" 1 "A1" "2A1A1"
"8" 604296.55967 648277.663344979 4 2 "A" 1 "A1" "2A1A1"
"9" 604296.5172715 648257.257295966 3 3 "A" 1 "A1" "3A1A1"
"10" 604306.710573 648257.498911977 3 3 "A" 1 "A1" "3A1A1"
"11" 604306.7306565 648267.69125098 3 3 "A" 1 "A1" "3A1A1"
"12" 604296.53847075 648267.460320473 3 3 "A" 1 "A1" "3A1A1"
"13" 604286.32397 648257.015680015 1 4 "A" 1 "A1" "4A1A1"
"14" 604296.5172715 648257.257295966 1 4 "A" 1 "A1" "4A1A1"
"15" 604296.53847075 648267.460320473 1 4 "A" 1 "A1" "4A1A1"
"16" 604286.346285 648267.229389966 1 4 "A" 1 "A1" "4A1A1"
"17" 604316.9038745 648257.740527958 2 1 "B" 1 "A1" "1B1A1"
"18" 604316.92284225 648267.922181457 2 1 "B" 1 "A1" "1B1A1"
"19" 604327.115028 648268.153111935 2 1 "B" 1 "A1" "1B1A1"
"20" 604327.097176 648257.982143939 2 1 "B" 1 "A1" "1B1A1"
"21" 604316.92284225 648267.922181457 4 2 "B" 1 "A1" "2B1A1"
"22" 604316.94181 648278.103834987 4 2 "B" 1 "A1" "2B1A1"
"23" 604327.13288 648278.32407999 4 2 "B" 1 "A1" "2B1A1"
"24" 604327.115028 648268.153111935 4 2 "B" 1 "A1" "2B1A1"
"25" 604306.7306565 648267.69125098 3 3 "B" 1 "A1" "3B1A1"
"26" 604306.75074 648277.883589983 3 3 "B" 1 "A1" "3B1A1"
