"Species" "elev" "x" "y" "dden"
"1" "Anisoptera_costata" 85.991 604904.4387 647179.7358 0.553333333333333
"2" "Anisoptera_costata" 84.58 604919.2154 647168.705 0
"3" "Dipterocarpus_acutangulus" 72.232 604793.2842 647441.1995 0
"4" "Dipterocarpus_acutangulus" 80.56001 604819.4056 647268.0378 0
"5" "Dipterocarpus_acutangulus" 72.66 604793.4116 647365.6526 0
"6" "Dipterocarpus_acutangulus" 77.08801 604941.0098 647375.1146 0
"7" "Dipterocarpus_acutangulus" 82.161 604950.2819 647345.6484 0
"8" "Dipterocarpus_acutangulus" 78.288 604918.9449 647329.012 0
"9" "Dipterocarpus_acutangulus" 85.9 604915.3048 647301.3666 0
"10" "Dipterocarpus_acutangulus" 86.954 604913.4652 647295.8357 0
"11" "Dipterocarpus_acutangulus" 92.595 604926.3854 647295.8575 0
"12" "Dipterocarpus_acutangulus" 91.995 604928.2077 647305.0737 0
"13" "Dipterocarpus_acutangulus" 93.66901 604937.4599 647294.0336 0
"14" "Dipterocarpus_acutangulus" 100.08 604930.1313 647260.8542 0
"15" "Dipterocarpus_acutangulus" 85.484 604828.6187 647273.5812 0
"16" "Dipterocarpus_acutangulus" 82.097 604954.0264 647318.0155 0
"17" "Dipterocarpus_acutangulus" 85.383 604963.255 647314.3459 0
"18" "Dipterocarpus_acutangulus" 88.618 604972.4743 647316.2041 0
"19" "Dipterocarpus_acutangulus" 77.90601 604957.6758 647340.133 0
"20" "Dipterocarpus_acutangulus" 79.991 604976.1099 647353.0625 0
"21" "Dipterocarpus_acutangulus" 86.174 604826.7622 647284.6338 0
"22" "Dipterocarpus_acutangulus" 81.208 604821.2545 647268.0409 0
"23" "Dipterocarpus_acutangulus" 89.46101 604834.1388 647282.8036 0
"24" "Dipterocarpus_acutangulus" 90.10201 604841.5079 647292.0291 0
"25" "Dipterocarpus_acutangulus" 84.47501 604819.3373 647308.5752 0
"26" "Dipterocarpus_acutangulus" 85.773 604830.393 647317.8069 0
"27" "Dipterocarpus_acutangulus" 79.76401 604808.2566 647314.0844 0
"28" "Dipterocarpus_acutangulus" 92.95901 604989.1529 647273.8521 0
"29" "Dipterocarpus_acutangulus" 86.707 605050.0421 647275.7976 0
"30" "Dipterocarpus_acutangulus" 96.991 605131.2298 647281.4627 0
"31" "Dipterocarpus_acutangulus" 83.396 605033.4257 647281.2974 0
"32" "Dipterocarpus_acutangulus" 91.701 605011.2364 647308.8991 0
"33" "Dipterocarpus_acutangulus" 91.096 605001.9891 647323.6243 0
"34" "Dipterocarpus_acutangulus" 90.58701 605007.4999 647338.3746 0
"35" "Dipterocarpus_acutangulus" 89.149 605011.1555 647356.8069 0
"36" "Dipterocarpus_acutangulus" 89.968 605024.0539 647369.727 0
"37" "Dipterocarpus_acutangulus" 88.50201 605031.4136 647384.4803 0
"38" "Dipterocarpus_acutangulus" 88.012 605044.3383 647375.2891 0
"39" "Dipterocarpus_acutangulus" 87.884 604620.4319 647083.4415 0
"40" "Dipterocarpus_acutangulus" 72.14101 604500.3969 647142.2033 0
"41" "Dipterocarpus_acutangulus" 78.98 604692.3367 647118.5721 0
"42" "Dipterocarpus_acutangulus" 77.83 604778.8443 647245.8581 0
"43" "Dipterocarpus_acutangulus" 82.061 604784.3955 647236.6544 0
"44" "Dipterocarpus_acutangulus" 82.902 604784.3986 647234.8118 0
"45" "Dipterocarpus_acutangulus" 77.14101 604777.0034 647247.6976 0
"46" "Dipterocarpus_acutangulus" 88.206 604614.8993 647081.5896 0
"47" "Dipterocarpus_acutangulus" 76.76801 604690.5312 647092.7725 0
"48" "Dipterocarpus_acutangulus" 79.575 604699.7803 647083.5751 0
"49" "Dipterocarpus_acutangulus" 77.744 604723.7205 647107.5693 0
"50" "Dipterocarpus_acutangulus" 86.14001 604782.7719 647109.5114 0
"51" "Dipterocarpus_acutangulus" 91.36 604786.3655 647164.7958 0
"52" "Dipterocarpus_acutangulus" 87.971 604791.8484 647196.1295 0
"53" "Dipterocarpus_acutangulus" 78.86 604773.3211 647238.4784 0
"54" "Dipterocarpus_acutangulus" 71.315 604762.2342 647247.6728 0
"55" "Dipterocarpus_acutangulus" 84.14101 604980.0114 647225.9287 0
"56" "Dipterocarpus_acutangulus" 99.297 604924.7076 647194.511 0
"57" "Dipterocarpus_acutangulus" 91.80601 604930.2774 647174.2516 0
"58" "Dipterocarpus_acutangulus" 89.995 604926.5907 647174.2453 0
"59" "Dipterocarpus_acutangulus" 84.735 604976.4459 647154.0608 0
"60" "Dipterocarpus_acutangulus" 73.106 604972.8041 647120.8876 0
"61" "Dipterocarpus_acutangulus" 69.46101 604978.3491 647115.3691 0
"62" "Dipterocarpus_acutangulus" 77.82201 604965.443 647113.5046 0
"63" "Dipterocarpus_acutangulus" 106.441 604908.2467 647107.8803 0
"64" "Dipterocarpus_acutangulus" 106.172 604913.7886 647104.2045 0
"65" "Dipterocarpus_acutangulus" 94.832 604904.4946 647146.5688 0
"66" "Dipterocarpus_acutangulus" 94.69501 604948.5903 647259.0427 0
"67" "Dipterocarpus_acutangulus" 102.85001 604893.445 647133.652 0
"68" "Dipterocarpus_acutangulus" 93.095 604897.1038 647150.2417 0
"69" "Dipterocarpus_acutangulus" 84.492 604902.6239 647159.464 0
"70" "Dipterocarpus_acutangulus" 98.46201 604887.8938 647142.8557 0
"71" "Dipterocarpus_acutangulus" 81.633 604906.3045 647163.1554 0
"72" "Dipterocarpus_acutangulus" 96.42001 604898.9621 647144.717 0
"73" "Dipterocarpus_acutangulus" 105.94601 604895.314 647115.229 0
"74" "Dipterocarpus_acutangulus" 105.564 604891.6054 647128.121 0
"75" "Dipterocarpus_acutangulus" 104.592 604880.5248 647133.6302 0
"76" "Dipterocarpus_acutangulus" 94.07201 604878.6448 647152.0531 0
"77" "Dipterocarpus_acutangulus" 98.37601 604909.8717 647240.5512 0
"78" "Dipterocarpus_acutangulus" 89.55901 604849.0944 647172.2721 0
"79" "Dipterocarpus_acutangulus" 79.61201 604830.6167 647185.1391 0
"80" "Dipterocarpus_acutangulus" 92.537 604810.354 647166.6789 0
"81" "Dipterocarpus_acutangulus" 89.76601 604823.2601 647168.5432 0
"82" "Dipterocarpus_acutangulus" 96.50401 604850.954 647159.3769 0
"83" "Dipterocarpus_acutangulus" 89.164 604814.0905 647137.2034 0
"84" "Dipterocarpus_acutangulus" 85.191 604797.3841 647196.1388 0
"85" "Dipterocarpus_acutangulus" 78.15701 604801.0522 647207.2007 0
"86" "Dipterocarpus_acutangulus" 88.64001 604812.3099 647096.6628 0
"87" "Dipterocarpus_acutangulus" 89.314 604804.9271 647102.1782 0
"88" "Dipterocarpus_acutangulus" 100.67001 604887.7508 647227.6157 0
"89" "Dipterocarpus_acutangulus" 80.538 604836.3015 647096.7033 0
"90" "Dipterocarpus_acutangulus" 80.568 604834.4495 647098.5428 0
"91" "Dipterocarpus_acutangulus" 87.116 604867.676 647091.2283 0
"92" "Dipterocarpus_acutangulus" 96.636 604860.2683 647111.4847 0
"93" "Dipterocarpus_acutangulus" 96.80901 604849.1752 647124.3642 0
"94" "Dipterocarpus_acutangulus" 88.94501 604832.5682 647124.3362 0
"95" "Dipterocarpus_acutangulus" 90.61401 604898.7755 647255.2735 0
"96" "Dipterocarpus_acutangulus" 97.44401 604865.602 647231.2635 0
"97" "Dipterocarpus_acutangulus" 90.41601 604878.5515 647207.3313 0
"98" "Dipterocarpus_acutangulus" 80.951 604885.9734 647185.2325 0
"99" "Dipterocarpus_acutangulus" 93.35201 604917.3385 647185.2854 0
"100" "Dipterocarpus_acutangulus" 87.21101 605086.985 647257.4338 0
"101" "Dipterocarpus_acutangulus" 87.605 605007.6617 647242.5589 0
"102" "Dipterocarpus_acutangulus" 85.80601 604983.8163 647155.9159 0
"103" "Dipterocarpus_acutangulus" 92.28001 605103.6169 647242.7211 0
"104" "Dipterocarpus_acutangulus" 96.89301 605083.4118 647183.7233 0
"105" "Dipterocarpus_acutangulus" 99.271 605039.0828 647209.445 0
"106" "Dipterocarpus_acutangulus" 95.372 605031.7124 647207.5899 0
"107" "Dipterocarpus_acutangulus" 95.49901 605051.9252 647255.5321 0
"108" "Dipterocarpus_acutangulus" 91.18001 604987.4115 647216.7282 0
"109" "Dipterocarpus_acutangulus" 94.759 604983.6359 647262.7871 0
"110" "Dipterocarpus_acutangulus" 95.536 605024.2998 647224.1609 0
"111" "Dipterocarpus_acutangulus" 115.704 606090.9872 647137.5261 0
"112" "Dipterocarpus_acutangulus" 82.316 605822.0557 647947.82 0
"113" "Dipterocarpus_acutangulus" 68.729 604669.2974 647651.0484 0
"114" "Dipterocarpus_applanatus" 68.98 604744.9658 647640.1202 0
"115" "Dipterocarpus_applanatus" 70.367 604615.5945 647767.0425 0
"116" "Dipterocarpus_applanatus" 67.829 604731.771 647809.6183 0
"117" "Dipterocarpus_caudiferus" 68.94801 604422.1082 647611.9376 0
"118" "Dipterocarpus_caudiferus" 69.02901 604435.1226 647549.3107 0
"119" "Dipterocarpus_caudiferus" 71.75401 604429.5715 647558.5145 0
"120" "Dipterocarpus_caudiferus" 82.244 604263.3728 647635.6251 0
"121" "Dipterocarpus_caudiferus" 69.041 604431.4452 647543.7767 0
"122" "Dipterocarpus_caudiferus" 72.556 604437.0303 647514.3043 0
"123" "Dipterocarpus_caudiferus" 69.513 604475.6807 647573.3328 0
"124" "Dipterocarpus_caudiferus" 68.51501 604483.0962 647554.9192 0
"125" "Dipterocarpus_caudiferus" 69.021 604462.8101 647543.8294 0
"126" "Dipterocarpus_caudiferus" 67.827 604588.4499 647450.0675 0
"127" "Dipterocarpus_caudiferus" 71.411 604446.327 647470.0973 0
"128" "Dipterocarpus_caudiferus" 73.831 604710.1688 647488.9673 0
"129" "Dipterocarpus_caudiferus" 73.187 604704.6798 647461.3188 0
"130" "Dipterocarpus_caudiferus" 70.21301 604700.9416 647485.2665 0
"131" "Dipterocarpus_caudiferus" 68.65501 604761.9268 647430.0909 0
"132" "Dipterocarpus_caudiferus" 68.709 604752.5647 647512.9927 0
"133" "Dipterocarpus_caudiferus" 68.92001 604747.0477 647501.9278 0
"134" "Dipterocarpus_caudiferus" 68.40601 604865.1979 647470.8026 0
"135" "Dipterocarpus_caudiferus" 73.235 604966.4719 647592.5861 0
"136" "Dipterocarpus_caudiferus" 67.62901 604918.4845 647601.7181 0
"137" "Dipterocarpus_caudiferus" 74.273 604901.9212 647575.8936 0
"138" "Dipterocarpus_caudiferus" 67.505 604822.5454 647592.3431 0
"139" "Dipterocarpus_caudiferus" 64.05901 605378.1735 647466.1424 0
"140" "Dipterocarpus_caudiferus" 64.04401 605413.0082 647600.7124 0
"141" "Dipterocarpus_caudiferus" 69.16 605593.9388 647540.2132 0
"142" "Dipterocarpus_caudiferus" 80.194 605568.1564 647512.5301 0
"143" "Dipterocarpus_caudiferus" 68.78001 605579.2872 647477.5394 0
"144" "Dipterocarpus_caudiferus" 58.799 605673.387 647481.3845 0
"145" "Dipterocarpus_caudiferus" 66.208 605674.9836 647623.2687 0
"146" "Dipterocarpus_caudiferus" 62.263 605845.1223 647619.8731 0
"147" "Dipterocarpus_caudiferus" 62.053 605838.4871 647615.4395 0
"148" "Dipterocarpus_caudiferus" 59.063 605821.8707 647620.9391 0
"149" "Dipterocarpus_caudiferus" 63.206 605849.5904 647596.6637 0
"150" "Dipterocarpus_caudiferus" 61.757 605782.1854 647520.2646 0
"151" "Dipterocarpus_caudiferus" 59.942 605826.512 647496.0175 0
"152" "Dipterocarpus_caudiferus" 63.42 606025.8684 647453.7313 0
"153" "Dipterocarpus_caudiferus" 59.953 606031.7096 647638.0032 0
"154" "Dipterocarpus_caudiferus" 61.825 606013.4791 647505.9178 0
"155" "Dipterocarpus_caudiferus" 72.01601 604371.0235 647263.5983 0
"156" "Dipterocarpus_caudiferus" 68.937 604448.501 647276.6267 0
"157" "Dipterocarpus_caudiferus" 68.065 604546.1483 647363.3936 0
"158" "Dipterocarpus_caudiferus" 69.096 604544.3259 647354.1775 0
"159" "Dipterocarpus_caudiferus" 68.611 604571.9112 647409.5023 0
"160" "Dipterocarpus_caudiferus" 68.771 604555.3135 647403.9465 0
"161" "Dipterocarpus_caudiferus" 68.843 604518.3306 647446.2643 0
"162" "Dipterocarpus_caudiferus" 68.58 604525.8577 647361.5168 0
"163" "Dipterocarpus_caudiferus" 68.43201 604511.0687 647379.9181 0
"164" "Dipterocarpus_caudiferus" 71.59901 604433.4984 647422.1678 0
"165" "Dipterocarpus_caudiferus" 69.01601 604420.5411 647444.2573 0
"166" "Dipterocarpus_caudiferus" 69.36301 604455.8113 647320.8617 0
"167" "Dipterocarpus_caudiferus" 69.648 604505.691 647285.9359 0
"168" "Dipterocarpus_caudiferus" 72.192 604533.4188 647256.5006 0
"169" "Dipterocarpus_caudiferus" 71.35001 604557.2692 647333.9305 0
"170" "Dipterocarpus_caudiferus" 68.967 604551.718 647343.1343 0
"171" "Dipterocarpus_caudiferus" 70.32401 604549.9019 647330.2329 0
"172" "Dipterocarpus_caudiferus" 71.394 604537.0405 647295.2016 0
"173" "Dipterocarpus_caudiferus" 73.37901 604548.118 647291.535 0
"174" "Dipterocarpus_caudiferus" 69.648 604640.2171 647385.6632 0
"175" "Dipterocarpus_caudiferus" 77.442 604682.6334 647404.1608 0
"176" "Dipterocarpus_caudiferus" 77.19701 604682.5962 647426.2721 0
"177" "Dipterocarpus_caudiferus" 76.972 604686.2798 647428.1208 0
"178" "Dipterocarpus_caudiferus" 77.619 604682.6427 647398.633 0
"179" "Dipterocarpus_caudiferus" 68.248 604721.3364 647431.8652 0
"180" "Dipterocarpus_caudiferus" 73.856 604758.3177 647384.0195 0
"181" "Dipterocarpus_caudiferus" 77.19901 604964.9888 647382.5256 0
"182" "Dipterocarpus_caudiferus" 60.87 605299.0628 647325.9695 0
"183" "Dipterocarpus_caudiferus" 61.701 605474.1911 647429.4529 0
"184" "Dipterocarpus_caudiferus" 59.168 605361.8883 647276.3253 0
"185" "Dipterocarpus_caudiferus" 63.196 605356.3682 647267.1029 0
"186" "Dipterocarpus_caudiferus" 67.468 605536.9368 647420.3463 0
"187" "Dipterocarpus_caudiferus" 57.543 605507.4488 647403.7127 0
"188" "Dipterocarpus_caudiferus" 58.918 605511.1355 647403.719 0
"189" "Dipterocarpus_caudiferus" 68.773 605527.7206 647416.6455 0
"190" "Dipterocarpus_caudiferus" 57.688 605525.9468 647372.4197 0
"191" "Dipterocarpus_caudiferus" 61.779 605470.6683 647326.2604 0
"192" "Dipterocarpus_caudiferus" 66.136 605481.6521 647377.8723 0
"193" "Dipterocarpus_caudiferus" 67.35101 605367.3084 647344.5113 0
"194" "Dipterocarpus_caudiferus" 58.391 605703.8141 647381.9349 0
"195" "Dipterocarpus_caudiferus" 63.431 605670.7655 647284.5885 0
"196" "Dipterocarpus_caudiferus" 59.25 605570.9432 647390.5537 0
